species	assembly
Amblysomus_hottentotus	Amblysomus_hottentotus__Hottentot_golden_mole__HLambHott1A__GCA_054824725.1
Tenrec_ecaudatus	Tenrec_ecaudatus__Tailless_tenrec__HLtenEca1A
Tenrec_ecaudatus	Tenrec_ecaudatus__Tailless_tenrec__HLtenEca1B
Tenrec_ecaudatus	Tenrec_ecaudatus__Tailless_tenrec__HLtenEcau2A__GCF_050624435.1
Tenrec_ecaudatus	Tenrec_ecaudatus__Tailless_tenrec__HLtenEcau2B__GCA_050624465.1
Heterohyrax_brucei	Heterohyrax_brucei__yellow-spotted_hyrax__HLhetBru2__GCA_028571685.1
Rhynchocyon_petersi	Rhynchocyon_petersi__Black_and_rufous_elephant_shrew__HLrhyPet1A__GCA_043290085.1
Rhynchocyon_petersi	Rhynchocyon_petersi__Black_and_rufous_elephant_shrew__HLrhyPet1B__GCA_043290065.1
Elephas_maximus	Elephas_maximus_indicus__Asiatic_elephant__HLeleMax2__GCA_024166365.1
Elephas_maximus	Elephas_maximus_indicus__Asiatic_elephant__HLeleMaxInd3A__GCF_024166365.1
Loxodonta_africana	Loxodonta_africana__African_savanna_elephant__HLloxAfr5A__GCA_030014295.1
Loxodonta_africana	Loxodonta_africana__African_savanna_elephant__HLloxAfr5B__GCA_030020305.1
Dugong_dugon	Dugong_dugon__Dugong__HLdugDugo3A__GCA_030035585.1
Trichechus_inunguis	Trichechus_inunguis__Amazon_manatee__HLtriInu1A__GCA_046562895.1
Trichechus_inunguis	Trichechus_inunguis__Amazon_manatee__HLtriInu1B__GCA_046562985.1
Orycteropus_afer	Orycteropus_afer__Aardvark__HLoryAfer3A__GCA_054668785.1
Cynocephalus_volans	Cynocephalus_volans__Philippine_flying_lemur__HLcynVol1__GCA_027409185.1
Lepus_capensis	Lepus_capensis__Brown_hare__HLlepCap1__GCA_042027585.1
Lepus_castroviejoi	Lepus_castroviejoi__Broom_Hare__HLlepCast1__GCA_978442995.1
Lepus_europaeus	Lepus_europaeus__European_hare__HLlepEur1__GCF_033115175.1
Lepus_oiostolus	Lepus_oiostolus__Woolly_hare__HLlepOio1__GCA_036325905.1
Lepus_timidus	Lepus_timidus__Mountain_hare__HLlepTimi2__GCA_040893245.2
Lepus_tolai	Lepus_tolai__Tolai_hare__HLlepTola1__GCA_051942805.1
Lepus_yarkandensis	Lepus_yarkandensis__Yarkand_hare__HLlepYar1__GCA_047496845.1
Oryctolagus_cuniculus	Oryctolagus_cuniculus__Rabbit__HLoryCuni5__GCF_964237555.1
