species	All_CN
Acinonyx_jubatus	2
Acomys_cahirinus	1
Acomys_dimidiatus	1
Acomys_kempi	1
Acomys_minous	1
Acomys_percivali	1
Acomys_russatus	1
Ailuropoda_melanoleuca	2
Amblysomus_hottentotus	2
Anoura_caudifer	2
Antrozous_pallidus	6
Apodemus_agrarius	1
Apodemus_speciosus	1
Apodemus_sylvaticus	1
Arctocephalus_gazella	2
Artibeus_jamaicensis	2
Artibeus_lituratus	2
Arvicanthis_niloticus	1
Arvicola_amphibius	1
Aselliscus_stoliczkanus	2
Ateles_fusciceps	1
Ateles_geoffroyi	1
Ateles_hybridus	1
Axis_porcinus	52
Balaenoptera_edeni	3
Balaenoptera_musculus	3
Balaenoptera_physalus	1
Bison_bonasus	61
Bos_javanicus	60
Bos_taurus	53
Brachyteles_arachnoides	2
Bradypus_torquatus	2
Budorcas_taxicolor	68
Callithrix_jacchus	2
Camelus_dromedarius	2
Canis_aureus	2
Canis_latrans	2
Canis_lupus	2
Capra_hircus	80
Capra_ibex	78
Capra_nubiana	67
Capreolus_capreolus	39
Capricornis_sumatraensis	55
Castor_canadensis	1
Castor_fiber	1
Cebus_albifrons	2
Cervus_elaphus	50
Cervus_nippon	69
Chionomys_nivalis	1
Chlorocebus_sabaeus	3
Choloepus_didactylus	2
Colobus_guereza	4
Corynorhinus_townsendii	7
Cricetus_cricetus	1
Crocidura_zimmermanni	2
Ctenodactylus_gundi	1
Cynocephalus_volans	1
Cynomys_gunnisoni	1
Cynomys_ludovicianus	2
Cynopterus_sphinx	2
Dama_dama	55
Dasypus_novemcinctus	8
Daubentonia_madagascariensis	2
Delphinapterus_leucas	2
Delphinus_delphis	8
Desmodus_rotundus	2
Dipodomys_merriami	1
Dipodomys_spectabilis	1
Dipus_sagitta	1
Dugong_dugon	2
Eira_barbara	2
Eliomys_quercinus	1
Eospalax_fontanierii	1
Eptesicus_fuscus	6
Equus_caballus	11
Equus_kiang	11
Erythrocebus_patas	4
Eschrichtius_robustus	3
Eubalaena_glacialis	3
Eumetopias_jubatus	2
Felis_catus	2
Felis_chaus	2
Geomys_bursarius	1
Gorilla_gorilla	4
Grampus_griseus	2
Heterohyrax_brucei	2
Hipposideros_larvatus	2
Hyaena_hyaena	2
Hydrurga_leptonyx	2
Hylobates_pileatus	3
Ia_io	2
Inia_geoffrensis	5
Jaculus_jaculus	1
Kogia_breviceps	4
Kogia_sima	1
Lasiopodomys_brandtii	1
Lasiopodomys_mandarinus	1
Lemmus_lemmus	1
Lemur_catta	2
Leontopithecus_rosalia	2
Lepus_capensis	9
Lepus_castroviejoi	9
Lepus_europaeus	11
Lepus_oiostolus	9
Lepus_timidus	12
Lepus_tolai	9
Lepus_yarkandensis	13
Lontra_canadensis	2
Loris_tardigradus	2
Loxodonta_africana	2
Lutra_lutra	2
Lycaon_pictus	2
Lynx_canadensis	2
Lynx_rufus	2
Macaca_assamensis	6
Macaca_cyclopis	4
Macaca_fascicularis	14
Macaca_mulatta	5
Macaca_nemestrina	5
Macaca_nigra	5
Macaca_silenus	3
Macroderma_gigas	2
Macrotus_californicus	2
Manis_javanica	2
Manis_pentadactyla	2
Marmota_flaviventris	1
Marmota_himalayana	1
Marmota_monax	1
Martes_flavigula	2
Martes_foina	2
Martes_martes	2
Mastacomys_fuscus	1
Megaderma_spasma	2
Megaptera_novaeangliae	3
Meles_meles	2
Mephitis_mephitis	2
Meriones_unguiculatus	1
Mesocricetus_auratus	1
Mesoplodon_densirostris	4
Microcebus_murinus	2
Micromys_minutus	1
Micronycteris_microtis	2
Microtus_agrestis	1
Microtus_californicus	1
Microtus_oregoni	1
Microtus_pennsylvanicus	1
Miniopterus_schreibersii	2
Mirounga_leonina	2
Molossus_molossus	2
Monachus_monachus	2
Monodon_monoceros	3
Mops_condylurus	2
Moschus_berezovskii	23
Muntiacus_crinifrons	38
Muntiacus_gongshanensis	37
Mus_minutoides	1
Mus_musculus	1
Mus_spretus	1
Mustela_erminea	2
Mustela_lutreola	2
Mustela_nivalis	2
Myospalax_psilurus	1
Myotis_daubentonii	3
Myotis_emarginatus	3
Myotis_mystacinus	9
Myotis_nattereri	3
Myotis_nesopolus	5
Myotis_yumanensis	4
Myrmecophaga_tridactyla	1
Neofelis_nebulosa	2
Neotoma_floridana	1
Nomascus_leucogenys	4
Nyctalus_aviator	7
Nyctalus_leisleri	14
Nyctereutes_procyonoides	2
Nycticebus_bengalensis	2
Nycticebus_coucang	2
Ochotona_argentata	16
Ochotona_princeps	16
Ondatra_zibethicus	1
Onychomys_arenicola	1
Onychomys_leucogaster	1
Onychomys_torridus	1
Orcinus_orca	4
Orycteropus_afer	1
Oryctolagus_cuniculus	17
Otocyon_megalotis	2
Ovis_aries	71
Ovis_canadensis	72
Pachyuromys_duprasi	1
Paguma_larvata	2
Pan_paniscus	3
Pan_troglodytes	3
Panthera_leo	2
Panthera_onca	2
Panthera_pardus	2
Panthera_tigris	2
Pantholops_hodgsonii	96
Papio_anubis	2
Papio_hamadryas	4
Peponocephala_electra	4
Peromyscus_eremicus	1
Peromyscus_leucopus	1
Phacochoerus_africanus	13
Phoca_vitulina	2
Phocoena_phocoena	3
Phocoena_sinus	3
Phodopus_roborovskii	1
Phodopus_sungorus	1
Phyllostomus_discolor	2
Phyllostomus_hastatus	2
Pipistrellus_abramus	13
Pipistrellus_nathusii	12
Pipistrellus_pipistrellus	12
Pipistrellus_pygmaeus	9
Platyrrhinus_helleri	2
Plecotus_auritus	10
Pongo_abelii	8
Pongo_pygmaeus	5
Prionailurus_bengalensis	2
Prionailurus_viverrinus	2
Psammomys_obesus	1
Pseudomys_desertor	1
Pseudorca_crassidens	5
Pteromys_volans	1
Pteropus_alecto	2
Pteropus_pselaphon	2
Puma_concolor	2
Rattus_norvegicus	1
Rattus_rattus	1
Rhabdomys_pumilio	1
Rhinolophus_affinis	1
Rhinolophus_clivosus	2
Rhinolophus_ferrumequinum	1
Rhinolophus_hipposideros	1
Rhinolophus_rex	2
Rhinolophus_sinicus	1
Rhinolophus_trifoliatus	1
Rhinopithecus_bieti	2
Rhinopithecus_roxellana	3
Rhinopoma_microphyllum	2
Rhynchocyon_petersi	2
Rhynchomys_soricoides	1
Rhynchonycteris_naso	2
Rousettus_aegyptiacus	2
Rousettus_leschenaultii	2
Rupicapra_rupicapra	62
Saccopteryx_bilineata	2
Saccopteryx_leptura	2
Saguinus_midas	2
Saguinus_oedipus	2
Saimiri_boliviensis	2
Salpingotus_crassicauda	1
Scaptochirus_moschatus	2
Sciurus_carolinensis	1
Sciurus_vulgaris	1
Scotinomys_teguina	1
Scutisorex_somereni	2
Sigmodon_hispidus	1
Sorex_fumeus	2
Sorex_ornatus	2
Spermophilus_citellus	1
Suncus_etruscus	2
Suncus_murinus	2
Sus_scrofa	19
Sylvilagus_floridanus	18
Symphalangus_syndactylus	4
Tadarida_brasiliensis	2
Tadarida_teniotis	2
Talpa_europaea	2
Talpa_occidentalis	2
Tamandua_tetradactyla	2
Tamias_sibiricus	1
Tapirus_indicus	11
Tenrec_ecaudatus	2
Thomomys_bottae	1
Tokudaia_muenninki	1
Trachypithecus_francoisi	3
Trachypithecus_germaini	4
Trachypithecus_shortridgei	4
Trichechus_inunguis	4
Tupaia_tana	2
Tursiops_truncatus	3
Typhlomys_cinereus	1
Urocyon_cinereoargenteus	2
Uromys_caudimaculatus	1
Ursus_americanus	2
Ursus_arctos	2
Ursus_maritimus	2
Vespertilio_murinus	10
Vulpes_corsac	2
Vulpes_ferrilata	2
Vulpes_lagopus	2
Vulpes_vulpes	2
Zalophus_californianus	2
