species	diet_state
Acinonyx_jubatus	Carnivore
Acomys_cahirinus	Omnivore
Acomys_dimidiatus	Omnivore
Acomys_kempi	Omnivore
Acomys_minous	Omnivore
Acomys_percivali	Omnivore
Acomys_russatus	Omnivore
Ailuropoda_melanoleuca	Herbivore
Amblysomus_hottentotus	Insectivore
Anoura_caudifer	Omnivore
Antrozous_pallidus	Insectivore
Apodemus_agrarius	Herbivore
Apodemus_speciosus	Herbivore
Apodemus_sylvaticus	Herbivore
Arctocephalus_gazella	Insectivore
Artibeus_jamaicensis	Frugivore
Artibeus_lituratus	Frugivore
Arvicanthis_niloticus	Omnivore
Arvicola_amphibius	Herbivore
Aselliscus_stoliczkanus	Insectivore
Ateles_fusciceps	Frugivore
Ateles_geoffroyi	Frugivore
Ateles_hybridus	Frugivore
Axis_porcinus	Herbivore
Balaenoptera_edeni	Omnivore
Balaenoptera_musculus	Insectivore
Balaenoptera_physalus	Omnivore
Bison_bonasus	Herbivore
Bos_javanicus	Herbivore
Bos_taurus	Herbivore
Brachyteles_arachnoides	Herbivore
Bradypus_torquatus	Herbivore
Budorcas_taxicolor	Herbivore
Callithrix_jacchus	Omnivore
Camelus_dromedarius	Herbivore
Canis_aureus	Carnivore
Canis_latrans	Carnivore
Canis_lupus	Carnivore
Capra_hircus	Herbivore
Capra_ibex	Herbivore
Capra_nubiana	Herbivore
Capreolus_capreolus	Herbivore
Capricornis_sumatraensis	Herbivore
Castor_canadensis	Herbivore
Castor_fiber	Herbivore
Cebus_albifrons	Insectivore
Cervus_elaphus	Herbivore
Cervus_nippon	Herbivore
Chionomys_nivalis	Omnivore
Chlorocebus_sabaeus	Frugivore
Choloepus_didactylus	Herbivore
Colobus_guereza	Herbivore
Corynorhinus_townsendii	Insectivore
Cricetus_cricetus	Herbivore
Crocidura_zimmermanni	Omnivore
Ctenodactylus_gundi	Herbivore
Cynocephalus_volans	Herbivore
Cynomys_gunnisoni	Herbivore
Cynomys_ludovicianus	Herbivore
Cynopterus_sphinx	Frugivore
Dama_dama	Herbivore
Dasypus_novemcinctus	Insectivore
Daubentonia_madagascariensis	Omnivore
Delphinapterus_leucas	Omnivore
Delphinus_delphis	Insectivore
Desmodus_rotundus	Carnivore
Dipodomys_merriami	Omnivore
Dipodomys_spectabilis	Omnivore
Dipus_sagitta	Herbivore
Dugong_dugon	Herbivore
Eira_barbara	Carnivore
Eliomys_quercinus	Omnivore
Eospalax_fontanierii	Omnivore
Eptesicus_fuscus	Insectivore
Equus_caballus	Herbivore
Equus_kiang	Herbivore
Erythrocebus_patas	Frugivore
Eschrichtius_robustus	Insectivore
Eubalaena_glacialis	Insectivore
Eumetopias_jubatus	Carnivore
Felis_catus	Carnivore
Felis_chaus	Carnivore
Geomys_bursarius	Herbivore
Gorilla_gorilla	Herbivore
Grampus_griseus	Omnivore
Heterohyrax_brucei	Herbivore
