species	diet_state
Acinonyx_jubatus	Carnivore
Acomys_cahirinus	Omnivore
Acomys_dimidiatus	Omnivore
Acomys_kempi	Omnivore
Acomys_minous	Omnivore
Acomys_percivali	Omnivore
Acomys_russatus	Omnivore
Ailuropoda_melanoleuca	Plant_dominant
Amblysomus_hottentotus	Insectivore
Anoura_caudifer	Omnivore
Antrozous_pallidus	Insectivore
Apodemus_agrarius	Plant_dominant
Apodemus_speciosus	Plant_dominant
Apodemus_sylvaticus	Plant_dominant
Arctocephalus_gazella	Insectivore
Artibeus_jamaicensis	Plant_dominant
Artibeus_lituratus	Plant_dominant
Arvicanthis_niloticus	Omnivore
Arvicola_amphibius	Plant_dominant
Aselliscus_stoliczkanus	Insectivore
Ateles_fusciceps	Plant_dominant
Ateles_geoffroyi	Plant_dominant
Ateles_hybridus	Plant_dominant
Axis_porcinus	Plant_dominant
Balaenoptera_edeni	Omnivore
Balaenoptera_musculus	Insectivore
Balaenoptera_physalus	Omnivore
Bison_bonasus	Plant_dominant
Bos_javanicus	Plant_dominant
Bos_taurus	Plant_dominant
Brachyteles_arachnoides	Plant_dominant
Bradypus_torquatus	Plant_dominant
Budorcas_taxicolor	Plant_dominant
Callithrix_jacchus	Omnivore
Camelus_dromedarius	Plant_dominant
Canis_aureus	Carnivore
Canis_latrans	Carnivore
Canis_lupus	Carnivore
Capra_hircus	Plant_dominant
Capra_ibex	Plant_dominant
Capra_nubiana	Plant_dominant
Capreolus_capreolus	Plant_dominant
Capricornis_sumatraensis	Plant_dominant
Castor_canadensis	Plant_dominant
Castor_fiber	Plant_dominant
Cebus_albifrons	Insectivore
Cervus_elaphus	Plant_dominant
Cervus_nippon	Plant_dominant
Chionomys_nivalis	Omnivore
Chlorocebus_sabaeus	Plant_dominant
Choloepus_didactylus	Plant_dominant
Colobus_guereza	Plant_dominant
Corynorhinus_townsendii	Insectivore
Cricetus_cricetus	Plant_dominant
Crocidura_zimmermanni	Omnivore
Ctenodactylus_gundi	Plant_dominant
Cynocephalus_volans	Plant_dominant
Cynomys_gunnisoni	Plant_dominant
Cynomys_ludovicianus	Plant_dominant
Cynopterus_sphinx	Plant_dominant
Dama_dama	Plant_dominant
Dasypus_novemcinctus	Insectivore
Daubentonia_madagascariensis	Omnivore
Delphinapterus_leucas	Omnivore
Delphinus_delphis	Insectivore
Desmodus_rotundus	Carnivore
Dipodomys_merriami	Omnivore
Dipodomys_spectabilis	Omnivore
Dipus_sagitta	Plant_dominant
Dugong_dugon	Plant_dominant
Eira_barbara	Carnivore
Eliomys_quercinus	Omnivore
Eospalax_fontanierii	Omnivore
Eptesicus_fuscus	Insectivore
Equus_caballus	Plant_dominant
Equus_kiang	Plant_dominant
Erythrocebus_patas	Plant_dominant
Eschrichtius_robustus	Insectivore
Eubalaena_glacialis	Insectivore
Eumetopias_jubatus	Carnivore
Felis_catus	Carnivore
