species	PAG_CN
Acinonyx_jubatus	0
Acomys_cahirinus	0
Acomys_dimidiatus	0
Acomys_kempi	0
Acomys_minous	0
Acomys_percivali	0
Acomys_russatus	0
Ailuropoda_melanoleuca	0
Amblysomus_hottentotus	0
Anoura_caudifer	0
Antrozous_pallidus	0
Apodemus_agrarius	0
Apodemus_speciosus	0
Apodemus_sylvaticus	0
Arctocephalus_gazella	0
Artibeus_jamaicensis	0
Artibeus_lituratus	0
Arvicanthis_niloticus	0
Arvicola_amphibius	0
Aselliscus_stoliczkanus	0
Ateles_fusciceps	0
Ateles_geoffroyi	0
Ateles_hybridus	0
Axis_porcinus	51
Balaenoptera_edeni	2
Balaenoptera_musculus	2
Balaenoptera_physalus	0
Bison_bonasus	60
Bos_javanicus	59
Bos_taurus	52
Brachyteles_arachnoides	0
Bradypus_torquatus	0
Budorcas_taxicolor	67
Callithrix_jacchus	0
Camelus_dromedarius	1
Canis_aureus	0
Canis_latrans	0
Canis_lupus	0
Capra_hircus	79
Capra_ibex	77
Capra_nubiana	66
Capreolus_capreolus	38
Capricornis_sumatraensis	54
Castor_canadensis	0
Castor_fiber	0
Cebus_albifrons	0
Cervus_elaphus	49
Cervus_nippon	68
Chionomys_nivalis	0
Chlorocebus_sabaeus	0
Choloepus_didactylus	0
Colobus_guereza	0
Corynorhinus_townsendii	0
Cricetus_cricetus	0
Crocidura_zimmermanni	0
Ctenodactylus_gundi	0
Cynocephalus_volans	0
Cynomys_gunnisoni	0
Cynomys_ludovicianus	0
Cynopterus_sphinx	0
Dama_dama	54
Dasypus_novemcinctus	0
Daubentonia_madagascariensis	0
Delphinapterus_leucas	1
Delphinus_delphis	7
Desmodus_rotundus	0
Dipodomys_merriami	0
Dipodomys_spectabilis	0
Dipus_sagitta	0
Dugong_dugon	0
Eira_barbara	0
Eliomys_quercinus	0
Eospalax_fontanierii	0
Eptesicus_fuscus	0
Equus_caballus	0
Equus_kiang	0
Erythrocebus_patas	0
Eschrichtius_robustus	2
Eubalaena_glacialis	2
Eumetopias_jubatus	0
Felis_catus	0
Felis_chaus	0
Geomys_bursarius	0
Gorilla_gorilla	0
Grampus_griseus	1
Heterohyrax_brucei	0
Hipposideros_larvatus	0
Hyaena_hyaena	0
Hydrurga_leptonyx	0
Hylobates_pileatus	0
Ia_io	0
Inia_geoffrensis	4
Jaculus_jaculus	0
Kogia_breviceps	3
Kogia_sima	0
Lasiopodomys_brandtii	0
Lasiopodomys_mandarinus	0
Lemmus_lemmus	0
Lemur_catta	0
Leontopithecus_rosalia	0
Lepus_capensis	0
Lepus_castroviejoi	0
Lepus_europaeus	0
Lepus_oiostolus	0
Lepus_timidus	0
Lepus_tolai	0
Lepus_yarkandensis	0
Lontra_canadensis	0
Loris_tardigradus	0
Loxodonta_africana	0
Lutra_lutra	0
Lycaon_pictus	0
Lynx_canadensis	0
Lynx_rufus	0
Macaca_assamensis	0
Macaca_cyclopis	0
Macaca_fascicularis	0
Macaca_mulatta	0
Macaca_nemestrina	0
Macaca_nigra	0
Macaca_silenus	0
Macroderma_gigas	0
Macrotus_californicus	0
Manis_javanica	0
Manis_pentadactyla	0
Marmota_flaviventris	0
Marmota_himalayana	0
Marmota_monax	0
Martes_flavigula	0
Martes_foina	0
Martes_martes	0
Mastacomys_fuscus	0
Megaderma_spasma	0
Megaptera_novaeangliae	2
Meles_meles	0
Mephitis_mephitis	0
Meriones_unguiculatus	0
Mesocricetus_auratus	0
Mesoplodon_densirostris	3
Microcebus_murinus	0
Micromys_minutus	0
Micronycteris_microtis	0
Microtus_agrestis	0
Microtus_californicus	0
Microtus_oregoni	0
Microtus_pennsylvanicus	0
Miniopterus_schreibersii	0
Mirounga_leonina	0
Molossus_molossus	0
Monachus_monachus	0
Monodon_monoceros	2
Mops_condylurus	0
Moschus_berezovskii	22
Muntiacus_crinifrons	37
Muntiacus_gongshanensis	36
Mus_minutoides	0
Mus_musculus	0
Mus_spretus	0
Mustela_erminea	0
Mustela_lutreola	0
Mustela_nivalis	0
Myospalax_psilurus	0
Myotis_daubentonii	0
Myotis_emarginatus	0
Myotis_mystacinus	0
Myotis_nattereri	0
Myotis_nesopolus	0
Myotis_yumanensis	0
Myrmecophaga_tridactyla	0
Neofelis_nebulosa	0
Neotoma_floridana	0
Nomascus_leucogenys	0
Nyctalus_aviator	0
Nyctalus_leisleri	0
Nyctereutes_procyonoides	0
Nycticebus_bengalensis	0
Nycticebus_coucang	0
Ochotona_argentata	0
Ochotona_princeps	0
Ondatra_zibethicus	0
Onychomys_arenicola	0
Onychomys_leucogaster	0
Onychomys_torridus	0
Orcinus_orca	3
Orycteropus_afer	0
Oryctolagus_cuniculus	0
Otocyon_megalotis	0
Ovis_aries	70
Ovis_canadensis	71
Pachyuromys_duprasi	0
Paguma_larvata	0
Pan_paniscus	0
Pan_troglodytes	0
Panthera_leo	0
Panthera_onca	0
Panthera_pardus	0
Panthera_tigris	0
Pantholops_hodgsonii	95
Papio_anubis	0
Papio_hamadryas	0
Peponocephala_electra	3
Peromyscus_eremicus	0
Peromyscus_leucopus	0
Phacochoerus_africanus	12
Phoca_vitulina	0
Phocoena_phocoena	2
Phocoena_sinus	2
Phodopus_roborovskii	0
Phodopus_sungorus	0
Phyllostomus_discolor	0
Phyllostomus_hastatus	0
Pipistrellus_abramus	0
Pipistrellus_nathusii	0
Pipistrellus_pipistrellus	0
Pipistrellus_pygmaeus	0
Platyrrhinus_helleri	0
Plecotus_auritus	0
Pongo_abelii	0
Pongo_pygmaeus	0
Prionailurus_bengalensis	0
Prionailurus_viverrinus	0
Psammomys_obesus	0
Pseudomys_desertor	0
Pseudorca_crassidens	4
Pteromys_volans	0
Pteropus_alecto	0
Pteropus_pselaphon	0
