species	PGA_like_CN
Acinonyx_jubatus	1
Acomys_cahirinus	1
Acomys_dimidiatus	1
Acomys_kempi	1
Acomys_minous	1
Acomys_percivali	1
Acomys_russatus	1
Ailuropoda_melanoleuca	1
Amblysomus_hottentotus	1
Anoura_caudifer	1
Antrozous_pallidus	5
Apodemus_agrarius	1
Apodemus_speciosus	1
Apodemus_sylvaticus	1
Arctocephalus_gazella	1
Artibeus_jamaicensis	1
Artibeus_lituratus	1
Arvicanthis_niloticus	1
Arvicola_amphibius	1
Aselliscus_stoliczkanus	1
Ateles_fusciceps	0
Ateles_geoffroyi	0
Ateles_hybridus	0
Axis_porcinus	0
Balaenoptera_edeni	0
Balaenoptera_musculus	0
Balaenoptera_physalus	0
Bison_bonasus	0
Bos_javanicus	0
Bos_taurus	0
Brachyteles_arachnoides	1
Bradypus_torquatus	1
Budorcas_taxicolor	0
Callithrix_jacchus	1
Camelus_dromedarius	0
Canis_aureus	1
Canis_latrans	1
Canis_lupus	1
Capra_hircus	0
Capra_ibex	0
Capra_nubiana	0
Capreolus_capreolus	0
Capricornis_sumatraensis	0
Castor_canadensis	1
Castor_fiber	1
Cebus_albifrons	1
Cervus_elaphus	0
Cervus_nippon	0
Chionomys_nivalis	1
Chlorocebus_sabaeus	0
Choloepus_didactylus	1
Colobus_guereza	1
Corynorhinus_townsendii	6
Cricetus_cricetus	1
Crocidura_zimmermanni	1
Ctenodactylus_gundi	1
Cynocephalus_volans	0
Cynomys_gunnisoni	1
Cynomys_ludovicianus	2
Cynopterus_sphinx	1
Dama_dama	0
Dasypus_novemcinctus	7
Daubentonia_madagascariensis	1
Delphinapterus_leucas	0
Delphinus_delphis	0
Desmodus_rotundus	1
Dipodomys_merriami	1
Dipodomys_spectabilis	1
Dipus_sagitta	1
Dugong_dugon	1
Eira_barbara	1
Eliomys_quercinus	1
Eospalax_fontanierii	1
Eptesicus_fuscus	5
Equus_caballus	1
Equus_kiang	1
Erythrocebus_patas	0
Eschrichtius_robustus	0
Eubalaena_glacialis	0
Eumetopias_jubatus	1
Felis_catus	1
Felis_chaus	1
Geomys_bursarius	1
Gorilla_gorilla	0
Grampus_griseus	0
Heterohyrax_brucei	1
Hipposideros_larvatus	1
Hyaena_hyaena	1
Hydrurga_leptonyx	1
Hylobates_pileatus	1
Ia_io	1
Inia_geoffrensis	0
Jaculus_jaculus	1
Kogia_breviceps	0
Kogia_sima	0
Lasiopodomys_brandtii	1
Lasiopodomys_mandarinus	1
Lemmus_lemmus	1
Lemur_catta	1
Leontopithecus_rosalia	1
Lepus_capensis	1
Lepus_castroviejoi	1
Lepus_europaeus	1
Lepus_oiostolus	1
Lepus_timidus	1
Lepus_tolai	1
Lepus_yarkandensis	1
Lontra_canadensis	1
Loris_tardigradus	1
Loxodonta_africana	1
Lutra_lutra	1
Lycaon_pictus	1
Lynx_canadensis	1
Lynx_rufus	1
Macaca_assamensis	1
Macaca_cyclopis	1
Macaca_fascicularis	1
Macaca_mulatta	1
Macaca_nemestrina	1
Macaca_nigra	1
Macaca_silenus	1
Macroderma_gigas	1
Macrotus_californicus	1
Manis_javanica	1
Manis_pentadactyla	1
Marmota_flaviventris	1
Marmota_himalayana	1
Marmota_monax	1
Martes_flavigula	1
Martes_foina	1
Martes_martes	1
Mastacomys_fuscus	1
Megaderma_spasma	1
Megaptera_novaeangliae	0
Meles_meles	1
Mephitis_mephitis	1
Meriones_unguiculatus	1
Mesocricetus_auratus	1
Mesoplodon_densirostris	0
Microcebus_murinus	1
Micromys_minutus	1
Micronycteris_microtis	1
Microtus_agrestis	1
Microtus_californicus	1
Microtus_oregoni	1
Microtus_pennsylvanicus	1
Miniopterus_schreibersii	1
Mirounga_leonina	1
Molossus_molossus	1
Monachus_monachus	1
Monodon_monoceros	0
Mops_condylurus	1
Moschus_berezovskii	0
Muntiacus_crinifrons	0
Muntiacus_gongshanensis	0
Mus_minutoides	1
Mus_musculus	1
Mus_spretus	1
Mustela_erminea	1
Mustela_lutreola	1
Mustela_nivalis	1
Myospalax_psilurus	1
Myotis_daubentonii	2
Myotis_emarginatus	2
Myotis_mystacinus	8
Myotis_nattereri	2
Myotis_nesopolus	4
Myotis_yumanensis	3
Myrmecophaga_tridactyla	0
Neofelis_nebulosa	1
Neotoma_floridana	1
Nomascus_leucogenys	1
Nyctalus_aviator	6
Nyctalus_leisleri	13
Nyctereutes_procyonoides	1
Nycticebus_bengalensis	1
Nycticebus_coucang	1
Ochotona_argentata	1
Ochotona_princeps	1
Ondatra_zibethicus	1
Onychomys_arenicola	1
Onychomys_leucogaster	1
Onychomys_torridus	1
Orcinus_orca	0
Orycteropus_afer	0
Oryctolagus_cuniculus	1
Otocyon_megalotis	1
Ovis_aries	0
Ovis_canadensis	0
Pachyuromys_duprasi	1
Paguma_larvata	1
Pan_paniscus	0
Pan_troglodytes	0
Panthera_leo	1
Panthera_onca	1
Panthera_pardus	1
Panthera_tigris	1
Pantholops_hodgsonii	0
Papio_anubis	0
Papio_hamadryas	1
Peponocephala_electra	0
Peromyscus_eremicus	1
Peromyscus_leucopus	1
Phacochoerus_africanus	0
Phoca_vitulina	1
Phocoena_phocoena	0
Phocoena_sinus	0
Phodopus_roborovskii	1
Phodopus_sungorus	1
Phyllostomus_discolor	1
Phyllostomus_hastatus	1
Pipistrellus_abramus	12
Pipistrellus_nathusii	11
Pipistrellus_pipistrellus	11
Pipistrellus_pygmaeus	8
Platyrrhinus_helleri	1
Plecotus_auritus	9
Pongo_abelii	0
Pongo_pygmaeus	0
Prionailurus_bengalensis	1
Prionailurus_viverrinus	1
Psammomys_obesus	1
Pseudomys_desertor	1
Pseudorca_crassidens	0
Pteromys_volans	1
Pteropus_alecto	1
Pteropus_pselaphon	1
Puma_concolor	1
Rattus_norvegicus	1
Rattus_rattus	1
Rhabdomys_pumilio	1
Rhinolophus_affinis	0
Rhinolophus_clivosus	1
Rhinolophus_ferrumequinum	0
Rhinolophus_hipposideros	0
Rhinolophus_rex	1
Rhinolophus_sinicus	0
Rhinolophus_trifoliatus	0
Rhinopithecus_bieti	1
Rhinopithecus_roxellana	0
Rhinopoma_microphyllum	1
Rhynchocyon_petersi	1
Rhynchomys_soricoides	1
Rhynchonycteris_naso	1
Rousettus_aegyptiacus	1
Rousettus_leschenaultii	1
Rupicapra_rupicapra	0
Saccopteryx_bilineata	1
Saccopteryx_leptura	1
Saguinus_midas	1
Saguinus_oedipus	1
Saimiri_boliviensis	1
Salpingotus_crassicauda	1
Scaptochirus_moschatus	1
Sciurus_carolinensis	1
Sciurus_vulgaris	1
Scotinomys_teguina	1
Scutisorex_somereni	1
Sigmodon_hispidus	1
Sorex_fumeus	1
Sorex_ornatus	1
Spermophilus_citellus	1
Suncus_etruscus	1
Suncus_murinus	1
Sus_scrofa	0
Sylvilagus_floridanus	1
Symphalangus_syndactylus	1
Tadarida_brasiliensis	1
Tadarida_teniotis	1
Talpa_europaea	1
Talpa_occidentalis	1
Tamandua_tetradactyla	1
Tamias_sibiricus	1
Tapirus_indicus	2
Tenrec_ecaudatus	1
Thomomys_bottae	1
Tokudaia_muenninki	1
Trachypithecus_francoisi	1
Trachypithecus_germaini	0
Trachypithecus_shortridgei	0
Trichechus_inunguis	1
Tupaia_tana	1
Tursiops_truncatus	0
Typhlomys_cinereus	1
Urocyon_cinereoargenteus	1
Uromys_caudimaculatus	1
Ursus_americanus	1
