Value	Std.Error	t-value	p-value	term	model	n_species	AIC	lambda	CI_low	CI_high
0.64884604501569	0.14353859201862	4.52035954854234	8.98087656291222e-06	(Intercept)	PGA_log1p ~ plant_total_prop + log10_body_mass	295	-58.8970782698775	0.935113167740946	0.367510404659196	0.930181685372184
-0.000280064860436907	0.0671695859847665	-0.00416951893228021	0.996676061940682	plant_total_prop	PGA_log1p ~ plant_total_prop + log10_body_mass	295	-58.8970782698775	0.935113167740946	-0.131932453390579	0.131372323669705
0.0298382853342355	0.0217588371535257	1.37131801316876	0.171328740831228	log10_body_mass	PGA_log1p ~ plant_total_prop + log10_body_mass	295	-58.8970782698775	0.935113167740946	-0.0128090354866749	0.0724856061551459
0.652438310762552	0.142530085345539	4.57754802560337	6.96861396055025e-06	(Intercept)	PGA_log1p ~ plant_structural_prop + log10_body_mass	295	-59.0207033595055	0.93592432564418	0.373079343485295	0.931797278039808
-0.0238798912540574	0.067411870179375	-0.35423867028931	0.723415694291103	plant_structural_prop	PGA_log1p ~ plant_structural_prop + log10_body_mass	295	-59.0207033595055	0.93592432564418	-0.156007156805632	0.108247374297518
0.0311802262759536	0.0219939937358302	1.41767005349093	0.15735331607376	log10_body_mass	PGA_log1p ~ plant_structural_prop + log10_body_mass	295	-59.0207033595055	0.93592432564418	-0.0119280014462737	0.0742884539981808
0.642792272038795	0.143181258708802	4.48936039419858	1.03062918865829e-05	(Intercept)	PGA_log1p ~ Diet_Group + log10_body_mass	295	-57.3840656546261	0.936285940596075	0.362157004969544	0.923427539108047
0.0240426199106496	0.0405495599132062	0.59291937969515	0.553695601421592	Diet_GroupOmnivore	PGA_log1p ~ Diet_Group + log10_body_mass	295	-57.3840656546261	0.936285940596075	-0.0554345175192346	0.103519757340534
0.000486594034591441	0.0522856419095453	0.00930645616693877	0.992581006294474	Diet_GroupPlant_dominant	PGA_log1p ~ Diet_Group + log10_body_mass	295	-57.3840656546261	0.936285940596075	-0.101993264108117	0.1029664521773
0.0305991300035673	0.0219628857915788	1.39321992082206	0.164616587534809	log10_body_mass	PGA_log1p ~ Diet_Group + log10_body_mass	295	-57.3840656546261	0.936285940596075	-0.0124481261479272	0.0736463861550617
0.45625092041807	0.174454255344855	2.61530404928312	0.00937957222859205	(Intercept)	PGA_log1p ~ plant_total_prop + log10_body_mass + log10_contig_N50	295	-60.6763258020521	0.936145545494526	0.114320579942155	0.798181260893986
-0.0214181828952193	0.0677191976394021	-0.316279336463332	0.752017239660361	plant_total_prop	PGA_log1p ~ plant_total_prop + log10_body_mass + log10_contig_N50	295	-60.6763258020521	0.936145545494526	-0.154147810268447	0.111311444478009
0.0324598440604542	0.0217212685397771	1.49438068043826	0.136159694840389	log10_body_mass	PGA_log1p ~ plant_total_prop + log10_body_mass + log10_contig_N50	295	-60.6763258020521	0.936145545494526	-0.0101138422775089	0.0750335303984172
0.0262313042371052	0.0135334226877785	1.93826091464605	0.0535583932901257	log10_contig_N50	PGA_log1p ~ plant_total_prop + log10_body_mass + log10_contig_N50	295	-60.6763258020521	0.936145545494526	-0.000294204230940676	0.0527568127051511
