branch_id	parent_node	child_node	branch_length	parent_CN	child_CN	delta_CN	gain_count	loss_count	gain_event	loss_event	starting_CN	ending_CN	parent_diet	child_diet	diet_state	child_label	parent_label	diet_transition	parent_order	child_order	child_order_set	diet_binary	stable_diet_branch	nearest_ancestral_gain	episode_root_branch_id
branch_6	298	300	38.414240153	1	2	1	1	0	1	0	1	2	Plant_dominant	Plant_dominant	Plant_dominant	Node300	Node298	0	Mixed	Sirenia	Sirenia	Plant_dominant	1	NA	branch_6
branch_8	300	4	9.8848506914	2	3	1	1	0	1	0	2	3	Plant_dominant	Plant_dominant	Plant_dominant	Trichechus_inunguis	Node300	0	Sirenia	Sirenia	Sirenia	Plant_dominant	1	branch_6	branch_6
branch_124	359	360	8.545587	2	3	1	1	0	1	0	2	3	Insectivore	Plant_dominant	Plant_dominant	Node360	Node359	1	Mixed	Mixed	Artiodactyla,Perissodactyla	Plant_dominant	0	NA	branch_124
branch_210	360	403	23.27277077	3	6	3	3	0	1	0	3	6	Plant_dominant	Plant_dominant	Plant_dominant	Node403	Node360	0	Mixed	Perissodactyla	Perissodactyla	Plant_dominant	1	branch_124	branch_124
branch_211	403	404	34.249222793	6	10	4	4	0	1	0	6	10	Plant_dominant	Plant_dominant	Plant_dominant	Node404	Node403	0	Perissodactyla	Perissodactyla	Perissodactyla	Plant_dominant	1	branch_210	branch_210
branch_214	403	106	41.119586622	6	9	3	3	0	1	0	6	9	Plant_dominant	Plant_dominant	Plant_dominant	Tapirus_indicus	Node403	0	Perissodactyla	Perissodactyla	Perissodactyla	Plant_dominant	1	branch_210	branch_210
branch_332	462	463	6.955623	2	3	1	1	0	1	0	2	3	Plant_dominant	Plant_dominant	Plant_dominant	Node463	Node462	0	Mixed	Mixed	Lagomorpha,Rodentia	Plant_dominant	1	NA	branch_332
branch_333	463	464	23.17947395	3	8	5	5	0	1	0	3	8	Plant_dominant	Plant_dominant	Plant_dominant	Node464	Node463	0	Mixed	Lagomorpha	Lagomorpha	Plant_dominant	1	branch_332	branch_332
branch_334	464	465	39.269924338	8	13	5	5	0	1	0	8	13	Plant_dominant	Plant_dominant	Plant_dominant	Node465	Node464	0	Lagomorpha	Lagomorpha	Lagomorpha	Plant_dominant	1	branch_333	branch_333
branch_335	465	466	1.660083974	13	14	1	1	0	1	0	13	14	Plant_dominant	Plant_dominant	Plant_dominant	Node466	Node465	0	Lagomorpha	Lagomorpha	Lagomorpha	Plant_dominant	1	branch_334	branch_334
branch_336	466	166	13.02411497389	14	16	2	2	0	1	0	14	16	Plant_dominant	Plant_dominant	Plant_dominant	Oryctolagus_cuniculus	Node466	0	Lagomorpha	Lagomorpha	Lagomorpha	Plant_dominant	1	branch_335	branch_335
branch_337	466	167	13.02411362347	14	17	3	3	0	1	0	14	17	Plant_dominant	Plant_dominant	Plant_dominant	Sylvilagus_floridanus	Node466	0	Lagomorpha	Lagomorpha	Lagomorpha	Plant_dominant	1	branch_335	branch_335
branch_341	469	168	3.9134657305	10	12	2	2	0	1	0	10	12	Plant_dominant	Plant_dominant	Plant_dominant	Lepus_yarkandensis	Node469	0	Lagomorpha	Lagomorpha	Lagomorpha	Plant_dominant	1	branch_334	branch_334
branch_349	471	173	1.68474478961	9	11	2	2	0	1	0	9	11	Plant_dominant	Plant_dominant	Plant_dominant	Lepus_timidus	Node471	0	Lagomorpha	Lagomorpha	Lagomorpha	Plant_dominant	1	branch_334	branch_334
branch_351	464	473	46.8905969417	8	15	7	7	0	1	0	8	15	Plant_dominant	Plant_dominant	Plant_dominant	Node473	Node464	0	Lagomorpha	Lagomorpha	Lagomorpha	Plant_dominant	1	branch_333	branch_333
branch_510	552	553	9.525145053	2	3	1	1	0	1	0	2	3	Plant_dominant	Plant_dominant	Plant_dominant	Node553	Node552	0	Primates	Primates	Primates	Plant_dominant	1	NA	branch_510
branch_511	553	554	7.90771396	3	4	1	1	0	1	0	3	4	Plant_dominant	Plant_dominant	Plant_dominant	Node554	Node553	0	Primates	Primates	Primates	Plant_dominant	1	branch_510	branch_510
branch_518	557	558	7.347069038	4	6	2	2	0	1	0	4	6	Plant_dominant	Plant_dominant	Plant_dominant	Node558	Node557	0	Primates	Primates	Primates	Plant_dominant	1	branch_511	branch_511
branch_520	558	258	2.099245499	6	8	2	2	0	1	0	6	8	Plant_dominant	Plant_dominant	Plant_dominant	Pongo_abelii	Node558	0	Primates	Primates	Primates	Plant_dominant	1	branch_518	branch_518
branch_531	565	262	2.6796712353	3	4	1	1	0	1	0	3	4	Plant_dominant	Plant_dominant	Plant_dominant	Trachypithecus_germaini	Node565	0	Primates	Primates	Primates	Plant_dominant	1	branch_510	branch_510
branch_533	564	264	3.0003086736	3	4	1	1	0	1	0	3	4	Plant_dominant	Plant_dominant	Plant_dominant	Trachypithecus_shortridgei	Node564	0	Primates	Primates	Primates	Plant_dominant	1	branch_510	branch_510
branch_536	566	266	2.4171675164	2	3	1	1	0	1	0	2	3	Plant_dominant	Plant_dominant	Plant_dominant	Rhinopithecus_roxellana	Node566	0	Primates	Primates	Primates	Plant_dominant	1	branch_510	branch_510
branch_538	561	567	4.024381673	3	4	1	1	0	1	0	3	4	Plant_dominant	Plant_dominant	Plant_dominant	Node567	Node561	0	Primates	Primates	Primates	Plant_dominant	1	branch_510	branch_510
branch_540	568	569	3.43812105003	4	5	1	1	0	1	0	4	5	Plant_dominant	Plant_dominant	Plant_dominant	Node569	Node568	0	Primates	Primates	Primates	Plant_dominant	1	branch_538	branch_538
branch_541	569	570	0.623369759	5	6	1	1	0	1	0	5	6	Plant_dominant	Plant_dominant	Plant_dominant	Node570	Node569	0	Primates	Primates	Primates	Plant_dominant	1	branch_540	branch_540
branch_543	571	268	3.578966595	6	13	7	7	0	1	0	6	13	Plant_dominant	Omnivore	Omnivore	Macaca_fascicularis	Node571	1	Primates	Primates	Primates	Non_plant	0	branch_541	branch_541
