episode_id	root_parent_node	root_child_node	root_parent_label	root_child_label	root_child_order	root_child_order_set	root_diet_state	root_diet_binary	root_stable_diet_branch	n_gain_branches_in_episode	total_gain_count_in_episode	max_single_branch_gain	min_parent_CN	max_child_CN	descendant_tip_count	representative_descendant_tips	member_branch_ids	member_child_labels	member_orders	member_diets
branch_333	463	464	Node463	Node464	Lagomorpha	Lagomorpha	Plant_dominant	Plant_dominant	1	2	12	7	8	15	11	Oryctolagus_cuniculus,Sylvilagus_floridanus,Lepus_yarkandensis,Lepus_europaeus,Lepus_capensis,Lepus_tolai,Lepus_castroviejoi,Lepus_timidus,Lepus_oiostolus,Ochotona_argentata	branch_334,branch_351	Node465,Node473	Lagomorpha	Plant_dominant
branch_210	360	403	Node360	Node403	Perissodactyla	Perissodactyla	Plant_dominant	Plant_dominant	1	2	7	4	6	10	3	Equus_kiang,Equus_caballus,Tapirus_indicus	branch_211,branch_214	Node404,Tapirus_indicus	Perissodactyla	Plant_dominant
branch_541	569	570	Node569	Node570	Primates	Primates	Plant_dominant	Plant_dominant	1	1	7	7	6	13	5	Macaca_fascicularis,Macaca_mulatta,Macaca_nigra,Macaca_cyclopis,Macaca_assamensis	branch_543	Macaca_fascicularis	Primates	Non_plant
branch_332	462	463	Node462	Node463	Mixed	Lagomorpha,Rodentia	Plant_dominant	Plant_dominant	1	2	6	5	2	8	82	Oryctolagus_cuniculus,Sylvilagus_floridanus,Lepus_yarkandensis,Lepus_europaeus,Lepus_capensis,Lepus_tolai,Lepus_castroviejoi,Lepus_timidus,Lepus_oiostolus,Ochotona_argentata	branch_332,branch_333	Node463,Node464	Lagomorpha,Mixed	Plant_dominant
branch_510	552	553	Node552	Node553	Primates	Primates	Plant_dominant	Plant_dominant	1	6	6	1	2	4	25	Symphalangus_syndactylus,Hylobates_pileatus,Nomascus_leucogenys,Pongo_pygmaeus,Pongo_abelii,Pan_troglodytes,Pan_paniscus,Gorilla_gorilla,Trachypithecus_germaini,Trachypithecus_francoisi	branch_510,branch_511,branch_531,branch_533,branch_536,branch_538	Node553,Node554,Trachypithecus_germaini,Trachypithecus_shortridgei,Rhinopithecus_roxellana,Node567	Primates	Plant_dominant
branch_334	464	465	Node464	Node465	Lagomorpha	Lagomorpha	Plant_dominant	Plant_dominant	1	3	5	2	9	14	9	Oryctolagus_cuniculus,Sylvilagus_floridanus,Lepus_yarkandensis,Lepus_europaeus,Lepus_capensis,Lepus_tolai,Lepus_castroviejoi,Lepus_timidus,Lepus_oiostolus	branch_335,branch_341,branch_349	Node466,Lepus_yarkandensis,Lepus_timidus	Lagomorpha	Plant_dominant
branch_335	465	466	Node465	Node466	Lagomorpha	Lagomorpha	Plant_dominant	Plant_dominant	1	2	5	3	14	17	2	Oryctolagus_cuniculus,Sylvilagus_floridanus	branch_336,branch_337	Oryctolagus_cuniculus,Sylvilagus_floridanus	Lagomorpha	Plant_dominant
branch_124	359	360	Node359	Node360	Mixed	Artiodactyla,Perissodactyla	Plant_dominant	Plant_dominant	0	2	4	3	2	6	46	Monodon_monoceros,Delphinapterus_leucas,Phocoena_phocoena,Phocoena_sinus,Orcinus_orca,Grampus_griseus,Pseudorca_crassidens,Peponocephala_electra,Tursiops_truncatus,Delphinus_delphis	branch_124,branch_210	Node360,Node403	Mixed,Perissodactyla	Plant_dominant
branch_511	553	554	Node553	Node554	Primates	Primates	Plant_dominant	Plant_dominant	1	1	2	2	4	6	8	Symphalangus_syndactylus,Hylobates_pileatus,Nomascus_leucogenys,Pongo_pygmaeus,Pongo_abelii,Pan_troglodytes,Pan_paniscus,Gorilla_gorilla	branch_518	Node558	Primates	Plant_dominant
branch_518	557	558	Node557	Node558	Primates	Primates	Plant_dominant	Plant_dominant	1	1	2	2	6	8	2	Pongo_pygmaeus,Pongo_abelii	branch_520	Pongo_abelii	Primates	Plant_dominant
branch_6	298	300	Node298	Node300	Sirenia	Sirenia	Plant_dominant	Plant_dominant	1	2	2	1	1	3	2	Dugong_dugon,Trichechus_inunguis	branch_6,branch_8	Node300,Trichechus_inunguis	Sirenia	Plant_dominant
branch_538	561	567	Node561	Node567	Primates	Primates	Plant_dominant	Plant_dominant	1	1	1	1	4	5	11	Macaca_fascicularis,Macaca_mulatta,Macaca_nigra,Macaca_cyclopis,Macaca_assamensis,Macaca_nemestrina,Macaca_silenus,Papio_anubis,Papio_hamadryas,Erythrocebus_patas	branch_540	Node569	Primates	Plant_dominant
branch_540	568	569	Node568	Node569	Primates	Primates	Plant_dominant	Plant_dominant	1	1	1	1	5	6	7	Macaca_fascicularis,Macaca_mulatta,Macaca_nigra,Macaca_cyclopis,Macaca_assamensis,Macaca_nemestrina,Macaca_silenus	branch_541	Node570	Primates	Plant_dominant
