branch_id	parent_node	child_node	branch_length	parent_CN	child_CN	delta_CN	gain_count	loss_count	gain_event	loss_event	starting_CN	ending_CN	parent_diet	child_diet	diet_state	diet_binary	stable_diet_branch	child_label	parent_label
branch_1	215	216	13.16096977	2	1	-1	0	1	0	1	2	1	Non_plant	Non_plant	Non_plant	Non_plant	1	Node216	Node215
branch_2	216	217	35.23705264	1	1	0	0	0	0	0	1	1	Non_plant	Plant_dominant	Plant_dominant	Plant_dominant	0	Node217	Node216
branch_3	217	218	3.203003854	1	1	0	0	0	0	0	1	1	Plant_dominant	Plant_dominant	Plant_dominant	Plant_dominant	1	Node218	Node217
branch_4	218	1	45.096088507	1	1	0	0	0	0	0	1	1	Plant_dominant	Plant_dominant	Plant_dominant	Plant_dominant	1	Loxodonta_africana	Node218
branch_5	218	2	45.096084264	1	1	0	0	0	0	0	1	1	Plant_dominant	Plant_dominant	Plant_dominant	Plant_dominant	1	Heterohyrax_brucei	Node218
branch_6	217	219	38.414240153	1	2	1	1	0	1	0	1	2	Plant_dominant	Plant_dominant	Plant_dominant	Plant_dominant	1	Node219	Node217
branch_7	219	3	9.884847961	2	1	-1	0	1	0	1	2	1	Plant_dominant	Plant_dominant	Plant_dominant	Plant_dominant	1	Dugong_dugon	Node219
branch_8	219	4	9.8848506914	2	3	1	1	0	1	0	2	3	Plant_dominant	Plant_dominant	Plant_dominant	Plant_dominant	1	Trichechus_inunguis	Node219
branch_9	216	220	2.138436917	1	1	0	0	0	0	0	1	1	Non_plant	Non_plant	Non_plant	Non_plant	1	Node220	Node216
branch_10	220	5	81.39771931	1	1	0	0	0	0	0	1	1	Non_plant	Non_plant	Non_plant	Non_plant	1	Orycteropus_afer	Node220
branch_11	220	221	3.704861019	1	1	0	0	0	0	0	1	1	Non_plant	Non_plant	Non_plant	Non_plant	1	Node221	Node220
branch_12	221	222	5.60737714	1	1	0	0	0	0	0	1	1	Non_plant	Non_plant	Non_plant	Non_plant	1	Node222	Node221
branch_13	222	6	72.085462954	1	1	0	0	0	0	0	1	1	Non_plant	Non_plant	Non_plant	Non_plant	1	Tenrec_ecaudatus	Node222
branch_14	222	7	72.0854672019	1	1	0	0	0	0	0	1	1	Non_plant	Non_plant	Non_plant	Non_plant	1	Amblysomus_hottentotus	Node222
branch_15	221	8	77.692844643	1	1	0	0	0	0	0	1	1	Non_plant	Non_plant	Non_plant	Non_plant	1	Rhynchocyon_petersi	Node221
branch_16	215	223	5.430646	2	2	0	0	0	0	0	2	2	Non_plant	Non_plant	Non_plant	Non_plant	1	Node223	Node215
