species	PGA_CN	diet_state	contig_N50	gap_free	pass_N50	gap_free_norm	pass_gap	pass_quality_flag	pass_high_quality
Loxodonta_africana	1	Plant_dominant	82653632	TRUE	TRUE	true	TRUE	TRUE	TRUE
Heterohyrax_brucei	1	Plant_dominant	78495281	TRUE	TRUE	true	TRUE	TRUE	TRUE
Dugong_dugon	1	Plant_dominant	57632671	TRUE	TRUE	true	TRUE	TRUE	TRUE
Trichechus_inunguis	3	Plant_dominant	25109643	TRUE	TRUE	true	TRUE	TRUE	TRUE
Orycteropus_afer	1	Non_plant	166734673	TRUE	TRUE	true	TRUE	TRUE	TRUE
Tenrec_ecaudatus	1	Non_plant	71825797	TRUE	TRUE	true	TRUE	TRUE	TRUE
Amblysomus_hottentotus	1	Non_plant	59459156	TRUE	TRUE	true	TRUE	TRUE	TRUE
Rhynchocyon_petersi	1	Non_plant	13791435	TRUE	TRUE	true	TRUE	TRUE	TRUE
Rhinopoma_microphyllum	1	Non_plant	33347918	TRUE	TRUE	true	TRUE	TRUE	TRUE
Megaderma_spasma	1	Non_plant	25520250	TRUE	TRUE	true	TRUE	TRUE	TRUE
Macroderma_gigas	1	Non_plant	37658598	TRUE	TRUE	true	TRUE	TRUE	TRUE
Rhinolophus_sinicus	1	Non_plant	42906106	TRUE	TRUE	true	TRUE	TRUE	TRUE
Rhinolophus_rex	1	Non_plant	75261663	TRUE	TRUE	true	TRUE	TRUE	TRUE
Rhinolophus_affinis	1	Non_plant	65534120	TRUE	TRUE	true	TRUE	TRUE	TRUE
Rhinolophus_trifoliatus	1	Non_plant	11115074	TRUE	TRUE	true	TRUE	TRUE	TRUE
Rhinolophus_clivosus	1	Non_plant	68120538	TRUE	TRUE	true	TRUE	TRUE	TRUE
Rhinolophus_ferrumequinum	1	Non_plant	31900497	TRUE	TRUE	true	TRUE	TRUE	TRUE
Aselliscus_stoliczkanus	1	Non_plant	73009000	TRUE	TRUE	true	TRUE	TRUE	TRUE
Hipposideros_larvatus	1	Non_plant	19276934	TRUE	TRUE	true	TRUE	TRUE	TRUE
Rousettus_leschenaultii	1	Non_plant	86068516	TRUE	TRUE	true	TRUE	TRUE	TRUE
Rousettus_aegyptiacus	1	Non_plant	21756723	TRUE	TRUE	true	TRUE	TRUE	TRUE
Cynopterus_sphinx	1	Plant_dominant	84235024	TRUE	TRUE	true	TRUE	TRUE	TRUE
Myotis_nesopolus	1	Non_plant	49124421	TRUE	TRUE	true	TRUE	TRUE	TRUE
Myotis_yumanensis	1	Non_plant	28025655	TRUE	TRUE	true	TRUE	TRUE	TRUE
Myotis_mystacinus	1	Non_plant	28343623	TRUE	TRUE	true	TRUE	TRUE	TRUE
Myotis_daubentonii	1	Non_plant	28718153	TRUE	TRUE	true	TRUE	TRUE	TRUE
Corynorhinus_townsendii	1	Non_plant	23382908	TRUE	TRUE	true	TRUE	TRUE	TRUE
Antrozous_pallidus	1	Non_plant	41887785	TRUE	TRUE	true	TRUE	TRUE	TRUE
Nyctalus_aviator	1	Non_plant	61249120	TRUE	TRUE	true	TRUE	TRUE	TRUE
Nyctalus_leisleri	1	Non_plant	26125689	TRUE	TRUE	true	TRUE	TRUE	TRUE
Pipistrellus_abramus	1	Non_plant	60509936	TRUE	TRUE	true	TRUE	TRUE	TRUE
Pipistrellus_pygmaeus	1	Non_plant	54047000	TRUE	TRUE	true	TRUE	TRUE	TRUE
Pipistrellus_nathusii	1	Non_plant	19092895	TRUE	TRUE	true	TRUE	TRUE	TRUE
Ia_io	1	Non_plant	62415887	TRUE	TRUE	true	TRUE	TRUE	TRUE
Eptesicus_fuscus	1	Non_plant	49033427	TRUE	TRUE	true	TRUE	TRUE	TRUE
Tadarida_brasiliensis	1	Non_plant	86333355	TRUE	TRUE	true	TRUE	TRUE	TRUE
Molossus_molossus	1	Non_plant	21658165	TRUE	TRUE	true	TRUE	TRUE	TRUE
Tadarida_teniotis	1	Non_plant	53136000	TRUE	TRUE	true	TRUE	TRUE	TRUE
Mops_condylurus	1	Non_plant	56964224	TRUE	TRUE	true	TRUE	TRUE	TRUE
Saccopteryx_bilineata	1	Non_plant	20047694	TRUE	TRUE	true	TRUE	TRUE	TRUE
Saccopteryx_leptura	1	Non_plant	17619988	TRUE	TRUE	true	TRUE	TRUE	TRUE
Rhynchonycteris_naso	1	Non_plant	108301702	TRUE	TRUE	true	TRUE	TRUE	TRUE
Phyllostomus_hastatus	1	Non_plant	31525663	TRUE	TRUE	true	TRUE	TRUE	TRUE
Phyllostomus_discolor	1	Non_plant	15176516	TRUE	TRUE	true	TRUE	TRUE	TRUE
Artibeus_jamaicensis	1	Plant_dominant	22092642	TRUE	TRUE	true	TRUE	TRUE	TRUE
Artibeus_lituratus	1	Plant_dominant	65515378	TRUE	TRUE	true	TRUE	TRUE	TRUE
Platyrrhinus_helleri	1	Plant_dominant	49393690	TRUE	TRUE	true	TRUE	TRUE	TRUE
Micronycteris_microtis	1	Non_plant	59308170	TRUE	TRUE	true	TRUE	TRUE	TRUE
Monodon_monoceros	1	Non_plant	22031227	TRUE	TRUE	true	TRUE	TRUE	TRUE
Phocoena_sinus	1	Non_plant	20218762	TRUE	TRUE	true	TRUE	TRUE	TRUE
Orcinus_orca	1	Non_plant	45583382	TRUE	TRUE	true	TRUE	TRUE	TRUE
Pseudorca_crassidens	1	Non_plant	58817648	TRUE	TRUE	true	TRUE	TRUE	TRUE
Peponocephala_electra	1	Non_plant	57154926	TRUE	TRUE	true	TRUE	TRUE	TRUE
Delphinus_delphis	1	Non_plant	54231611	TRUE	TRUE	true	TRUE	TRUE	TRUE
Inia_geoffrensis	1	Non_plant	41942625	TRUE	TRUE	true	TRUE	TRUE	TRUE
Mesoplodon_densirostris	1	Non_plant	48253041	TRUE	TRUE	true	TRUE	TRUE	TRUE
Kogia_breviceps	1	Non_plant	42780423	TRUE	TRUE	true	TRUE	TRUE	TRUE
Eubalaena_glacialis	1	Non_plant	37467374	TRUE	TRUE	true	TRUE	TRUE	TRUE
Balaenoptera_edeni	1	Non_plant	56810546	TRUE	TRUE	true	TRUE	TRUE	TRUE
Eschrichtius_robustus	1	Non_plant	39209000	TRUE	TRUE	true	TRUE	TRUE	TRUE
Megaptera_novaeangliae	1	Non_plant	36344089	TRUE	TRUE	true	TRUE	TRUE	TRUE
Dama_dama	1	Plant_dominant	68791581	TRUE	TRUE	true	TRUE	TRUE	TRUE
Cervus_nippon	1	Plant_dominant	89550226	TRUE	TRUE	true	TRUE	TRUE	TRUE
Cervus_elaphus	1	Plant_dominant	68741660	TRUE	TRUE	true	TRUE	TRUE	TRUE
Axis_porcinus	1	Plant_dominant	54160790	TRUE	TRUE	true	TRUE	TRUE	TRUE
Muntiacus_gongshanensis	1	Plant_dominant	24226309	TRUE	TRUE	true	TRUE	TRUE	TRUE
Muntiacus_crinifrons	1	Plant_dominant	25225000	TRUE	TRUE	true	TRUE	TRUE	TRUE
Capreolus_capreolus	1	Plant_dominant	69851389	TRUE	TRUE	true	TRUE	TRUE	TRUE
Bos_taurus	1	Plant_dominant	26402946	TRUE	TRUE	true	TRUE	TRUE	TRUE
Bos_javanicus	1	Plant_dominant	47146240	TRUE	TRUE	true	TRUE	TRUE	TRUE
Bison_bonasus	1	Plant_dominant	91242619	TRUE	TRUE	true	TRUE	TRUE	TRUE
Pantholops_hodgsonii	1	Plant_dominant	84561976	TRUE	TRUE	true	TRUE	TRUE	TRUE
Capra_nubiana	1	Plant_dominant	91324156	TRUE	TRUE	true	TRUE	TRUE	TRUE
Capra_hircus	1	Plant_dominant	100793790	TRUE	TRUE	true	TRUE	TRUE	TRUE
Capra_ibex	1	Plant_dominant	58703036	TRUE	TRUE	true	TRUE	TRUE	TRUE
Budorcas_taxicolor	1	Plant_dominant	64431831	TRUE	TRUE	true	TRUE	TRUE	TRUE
Ovis_canadensis	1	Plant_dominant	105224494	TRUE	TRUE	true	TRUE	TRUE	TRUE
Ovis_aries	1	Plant_dominant	103395564	TRUE	TRUE	true	TRUE	TRUE	TRUE
Rupicapra_rupicapra	1	Plant_dominant	77662214	TRUE	TRUE	true	TRUE	TRUE	TRUE
Capricornis_sumatraensis	1	Plant_dominant	100934918	TRUE	TRUE	true	TRUE	TRUE	TRUE
Moschus_berezovskii	1	Plant_dominant	91326797	TRUE	TRUE	true	TRUE	TRUE	TRUE
