branch_id	parent_node	child_node	branch_length	parent_CN	child_CN	delta_CN	gain_count	loss_count	gain_event	loss_event	starting_CN	ending_CN	parent_diet	child_diet	diet_state	child_label	parent_label	diet_transition
branch_1	296	297	13.16096977	2	1	-1	0	1	0	1	2	1	Insectivore	Insectivore	Insectivore	Node297	Node296	0
branch_2	297	298	35.23705264	1	1	0	0	0	0	0	1	1	Insectivore	Plant_dominant	Plant_dominant	Node298	Node297	1
branch_3	298	299	3.203003854	1	1	0	0	0	0	0	1	1	Plant_dominant	Plant_dominant	Plant_dominant	Node299	Node298	0
branch_4	299	1	45.096088507	1	1	0	0	0	0	0	1	1	Plant_dominant	Plant_dominant	Plant_dominant	Loxodonta_africana	Node299	0
branch_5	299	2	45.096084264	1	1	0	0	0	0	0	1	1	Plant_dominant	Plant_dominant	Plant_dominant	Heterohyrax_brucei	Node299	0
branch_6	298	300	38.414240153	1	2	1	1	0	1	0	1	2	Plant_dominant	Plant_dominant	Plant_dominant	Node300	Node298	0
branch_7	300	3	9.884847961	2	1	-1	0	1	0	1	2	1	Plant_dominant	Plant_dominant	Plant_dominant	Dugong_dugon	Node300	0
branch_8	300	4	9.8848506914	2	3	1	1	0	1	0	2	3	Plant_dominant	Plant_dominant	Plant_dominant	Trichechus_inunguis	Node300	0
branch_9	297	301	2.138436917	1	1	0	0	0	0	0	1	1	Insectivore	Insectivore	Insectivore	Node301	Node297	0
branch_10	301	5	81.39771931	1	1	0	0	0	0	0	1	1	Insectivore	Insectivore	Insectivore	Orycteropus_afer	Node301	0
branch_11	301	302	3.704861019	1	1	0	0	0	0	0	1	1	Insectivore	Insectivore	Insectivore	Node302	Node301	0
branch_12	302	303	5.60737714	1	1	0	0	0	0	0	1	1	Insectivore	Insectivore	Insectivore	Node303	Node302	0
branch_13	303	6	72.085462954	1	1	0	0	0	0	0	1	1	Insectivore	Insectivore	Insectivore	Tenrec_ecaudatus	Node303	0
branch_14	303	7	72.0854672019	1	1	0	0	0	0	0	1	1	Insectivore	Insectivore	Insectivore	Amblysomus_hottentotus	Node303	0
branch_15	302	8	77.692844643	1	1	0	0	0	0	0	1	1	Insectivore	Insectivore	Insectivore	Rhynchocyon_petersi	Node302	0
branch_16	296	304	5.430646	2	2	0	0	0	0	0	2	2	Insectivore	Insectivore	Insectivore	Node304	Node296	0
branch_17	304	305	3.654855	2	2	0	0	0	0	0	2	2	Insectivore	Insectivore	Insectivore	Node305	Node304	0
branch_18	305	306	4.089459	2	2	0	0	0	0	0	2	2	Insectivore	Insectivore	Insectivore	Node306	Node305	0
branch_19	306	307	7.087442	2	2	0	0	0	0	0	2	2	Insectivore	Insectivore	Insectivore	Node307	Node306	0
branch_20	307	308	6.643074	2	1	-1	0	1	0	1	2	1	Insectivore	Insectivore	Insectivore	Node308	Node307	0
branch_21	308	309	5.242817454	1	1	0	0	0	0	0	1	1	Insectivore	Insectivore	Insectivore	Node309	Node308	0
branch_22	309	310	10.78481652	1	1	0	0	0	0	0	1	1	Insectivore	Insectivore	Insectivore	Node310	Node309	0
branch_23	310	311	2.394738345	1	1	0	0	0	0	0	1	1	Insectivore	Insectivore	Insectivore	Node311	Node310	0
branch_24	311	9	51.3692510075	1	1	0	0	0	0	0	1	1	Insectivore	Insectivore	Insectivore	Rhinopoma_microphyllum	Node311	0
branch_25	311	312	35.65227079	1	1	0	0	0	0	0	1	1	Insectivore	Omnivore	Omnivore	Node312	Node311	1
branch_26	312	10	15.71698005	1	1	0	0	0	0	0	1	1	Omnivore	Omnivore	Omnivore	Megaderma_spasma	Node312	0
branch_27	312	11	15.71698005	1	1	0	0	0	0	0	1	1	Omnivore	Carnivore	Carnivore	Macroderma_gigas	Node312	1
branch_28	310	313	19.04810428	1	1	0	0	0	0	0	1	1	Insectivore	Insectivore	Insectivore	Node313	Node310	0
branch_29	313	314	19.0087355023	1	1	0	0	0	0	0	1	1	Insectivore	Insectivore	Insectivore	Node314	Node313	0
branch_30	314	12	15.70714285	1	1	0	0	0	0	0	1	1	Insectivore	Insectivore	Insectivore	Rhinolophus_hipposideros	Node314	0
