Scientific	BodyMass-Value
Tachyglossus aculeatus	3025
Zaglossus attenboroughi	8532.39
Zaglossus bartoni	7180
Zaglossus bruijni	10139.5
Ornithorhynchus anatinus	1484.25
Caluromys philander	229.25
Caluromys derbianus	297
Caluromys lanatus	325
Caluromysiops irrupta	250
Glironia venusta	114
Chironectes minimus	946
Didelphis aurita	1163.99
Didelphis imperfecta	1260.04
Didelphis marsupialis	1091.16
Didelphis pernigra	1260.04
Didelphis virginiana	2195.48
Didelphis albiventris	904
Gracilinanus formosus	18.9
Gracilinanus emiliae	7.6
Gracilinanus microtarsus	31
Gracilinanus marica	23.8
Gracilinanus dryas	18
Gracilinanus aceramarcae	20.5
Gracilinanus agricolai	18.9
Gracilinanus agilis	22
Gracilinanus ignitus	18.9
Hyladelphys kalinowskii	16.75
Lestodelphys halli	76
Lutreolina crassicaudata	537.3
Marmosa murina	26
Marmosa xerophila	46.2
Marmosa tyleriana	32.4
Marmosa rubra	63
Marmosa quichua	38.23
Marmosa mexicana	49.45
Marmosa lepida	14
Marmosa andersoni	47.4
Marmosa robinsoni	56.67
Marmosops handleyi	30.7
Marmosops juninensis	31.57
Marmosops pinheiroi	31.57
Marmosops paulensis	38.89
Marmosops parvidens	15
Marmosops noctivagus	21
Marmosops neblina	31.57
Marmosops bishopi	19.5
Marmosops impavidus	40.5
Marmosops incanus	62.3
Marmosops fuscatus	60
Marmosops dorothea	37.5
Marmosops cracens	25.5
Marmosops invictus	29.2
Metachirus nudicaudatus	375
Micoureus demerarae	75.75
Micoureus regina	118.6
Micoureus paraguayanus	112.43
Micoureus constantiae	90
Micoureus alstoni	132.3
Micoureus phaeus	103.76
Monodelphis emiliae	40
Monodelphis osgoodi	112
Monodelphis umbristriata	61.54
Monodelphis theresa	112
Monodelphis sorex	48
Monodelphis scalops	741
Monodelphis rubida	45.5
Monodelphis palliolata	61.54
Monodelphis unistriata	55.3
Monodelphis kunsi	11.3
Monodelphis glirina	61.54
Monodelphis domestica	71.4
Monodelphis dimidiata	58
Monodelphis brevicaudata	69.63
Monodelphis americana	19.5
Monodelphis adusta	35
Monodelphis maraxina	61.57
Monodelphis iheringi	112
Philander andersoni	325
Philander opossum	585.5
Philander mcilhennyi	325
Philander frenatus	395.45
Thylamys pusillus	28.21
Thylamys venustus	24.41
Thylamys tatei	24.41
Thylamys sponsorius	24.41
Thylamys velutinus	20.7
Thylamys macrurus	34.43
Thylamys karimii	24.41
Thylamys cinderella	24.41
Thylamys elegans	28.9
Thylamys pallidior	14.9
Tlacuatzin canescens	47.73
Caenolestes caniventer	40
Caenolestes condorensis	47.81
Caenolestes convelatus	40
Caenolestes fuliginosus	27.8
Lestoros inca	21.1
Rhyncholestes raphanurus	21
Dromiciops gliroides	22.3
Notoryctes caurinus	34
Notoryctes typhlops	55
Myrmecobius fasciatus	471.5
Dasycercus cristicauda	100
Dasykaluta rosamondae	28.75
Dasyuroides byrnei	109.47
Dasyurus spartacus	885.67
Dasyurus albopunctatus	637
Dasyurus viverrinus	1090
Dasyurus geoffroii	1100
Dasyurus maculatus	5500
Dasyurus hallucatus	525
Myoictis melas	200
Myoictis wallacii	200
Neophascogale lorentzi	212
Parantechinus apicalis	68.75
Phascolosorex doriae	168.31
Phascolosorex dorsalis	138.5
Pseudantechinus bilarni	23.05
Pseudantechinus woolleyae	40
Pseudantechinus roryi	25.06
Pseudantechinus ningbing	20
Pseudantechinus macdonnellensis	32.5
Pseudantechinus mimulus	16.5
Sarcophilus harrisii	10000
Antechinus leo	74
Antechinus subtropicus	59.5
Antechinus stuartii	27.5
Antechinus minimus	53.5
Antechinus flavipes	45
Antechinus bellus	44.5
Antechinus agilis	22.13
Antechinus adustus	36
Antechinus swainsonii	53
Antechinus godmani	76.5
Micromurexia habbema	46.97
Murexechinus melanurus	38.02
Murexia longicaudata	335.83
Paramurexia rothschildi	53.77
Phascomurexia naso	52.62
Phascogale calura	51.5
Phascogale tapoatafa	193.5
Antechinomys laniger	25.57
Ningaui yvonnae	7
Ningaui ridei	8.5
Ningaui timealeyi	5.7
Sminthopsis griseoventer	17.5
Sminthopsis virginiae	35.25
Sminthopsis psammophila	33.5
Sminthopsis ooldea	11
Sminthopsis murina	17
Sminthopsis macroura	20
Sminthopsis longicaudata	18
Sminthopsis leucopus	26
Sminthopsis douglasi	55
Sminthopsis hirtipes	15
Sminthopsis youngsoni	10.1
