Scientific,Diet-Inv,Diet-Vend,Diet-Vect,Diet-Vfish,Diet-Vunk,Diet-Scav,Diet-Fruit,Diet-Nect,Diet-Seed,Diet-PlantO
Tenrec ecaudatus,90,0,0,0,0,0,0,0,0,10
Amblysomus hottentotus,100,0,0,0,0,0,0,0,0,0
Rhynchocyon petersi,100,0,0,0,0,0,0,0,0,0
Orycteropus afer,100,0,0,0,0,0,0,0,0,0
Heterohyrax brucei,0,0,0,0,0,0,0,0,0,100
Loxodonta africana,0,0,0,0,0,0,0,0,0,100
Dugong dugon,0,0,0,0,0,0,0,0,0,100
Trichechus inunguis,0,0,0,0,0,0,0,0,0,100
Dasypus novemcinctus,100,0,0,0,0,0,0,0,0,0
Bradypus torquatus,0,0,0,0,0,0,0,0,0,100
Choloepus didactylus,0,0,0,0,0,0,30,0,0,70
Myrmecophaga tridactyla,100,0,0,0,0,0,0,0,0,0
Tamandua tetradactyla,100,0,0,0,0,0,0,0,0,0
Tupaia tana,90,0,0,0,0,0,0,0,0,10
Cynocephalus volans,0,0,0,0,0,0,0,0,0,100
Microcebus murinus,20,0,20,0,0,0,30,10,0,20
Lemur catta,0,0,0,0,0,0,80,0,0,20
Daubentonia madagascariensis,40,0,0,0,0,0,0,20,40,0
Loris tardigradus,70,0,0,0,10,0,10,0,0,10
Nycticebus coucang,40,30,10,0,0,0,20,0,0,0
Nycticebus bengalensis,40,30,10,0,0,0,20,0,0,0
Saguinus midas,40,0,0,0,0,0,30,30,0,0
Saguinus oedipus,40,0,0,0,0,0,30,30,0,0
Callithrix jacchus,20,0,0,0,10,0,30,40,0,0
Leontopithecus rosalia,50,0,0,0,0,0,50,0,0,0
Cebus albifrons,20,0,0,0,10,0,20,10,20,20
Saimiri boliviensis,20,0,0,0,20,0,20,0,20,20
Ateles geoffroyi,10,0,0,0,10,0,60,0,10,10
Ateles hybridus,10,0,0,0,10,0,60,0,10,10
Ateles fusciceps,10,0,0,0,10,0,60,0,10,10
Brachyteles arachnoides,0,0,0,0,0,0,20,10,20,50
Macaca mulatta,10,0,0,0,0,0,30,0,20,40
Macaca nemestrina,10,0,0,0,0,0,70,0,10,10
Macaca nigra,10,0,0,0,0,0,70,0,10,10
Macaca fascicularis,50,0,0,0,0,0,40,0,0,10
Macaca cyclopis,10,0,0,0,0,0,30,0,20,40
Macaca assamensis,10,0,0,0,0,0,30,0,20,40
Macaca silenus,10,0,0,0,0,0,30,0,20,40
Chlorocebus sabaeus,20,0,0,0,20,0,40,0,0,20
Erythrocebus patas,0,0,0,0,0,0,40,0,20,40
Papio hamadryas,10,0,0,0,10,0,0,0,0,80
Papio anubis,10,40,0,0,0,0,20,0,0,30
Colobus guereza,0,0,0,0,0,0,30,0,0,70
Rhinopithecus bieti,0,0,0,0,0,0,0,0,0,100
Rhinopithecus roxellana,0,0,0,0,0,0,10,0,10,80
Trachypithecus shortridgei,0,0,0,0,0,0,30,0,0,70
Trachypithecus germaini,0,0,0,0,0,0,30,0,0,70
Trachypithecus francoisi,0,0,0,0,0,0,30,0,0,70
Hylobates pileatus,10,0,0,0,0,0,70,0,0,20
Nomascus leucogenys,10,0,0,0,0,0,80,0,0,10
Symphalangus syndactylus,10,0,0,0,0,0,80,0,0,10
Gorilla gorilla,0,0,0,0,0,0,10,0,0,90
Pan paniscus,10,0,0,0,0,0,60,0,10,20
Pan troglodytes,10,0,0,0,0,0,60,0,0,30
Pongo abelii,10,0,0,0,10,0,80,0,0,0
Pongo pygmaeus,10,0,0,0,10,0,80,0,0,0
Sciurus carolinensis,0,0,0,0,0,0,20,0,50,30
Sciurus vulgaris,0,0,0,0,0,0,20,0,50,30
Pteromys volans,10,0,0,0,0,0,30,0,30,30
Spermophilus citellus,20,0,0,0,0,0,0,0,40,40
Cynomys ludovicianus,0,0,0,0,0,0,0,0,0,100
Cynomys gunnisoni,0,0,0,0,0,0,0,0,0,100
Marmota monax,0,0,0,0,0,0,30,0,30,40
Marmota himalayana,0,0,0,0,0,0,30,0,30,40
Marmota flaviventris,0,0,0,0,0,0,30,0,30,40
Tamias sibiricus,10,0,0,0,0,0,10,0,60,20
Eliomys quercinus,30,30,0,0,0,0,20,0,20,0
Geomys bursarius,0,0,0,0,0,0,0,0,0,100
Thomomys bottae,0,0,0,0,0,0,0,0,0,100
Castor canadensis,0,0,0,0,0,0,0,0,0,100
Castor fiber,0,0,0,0,0,0,0,0,0,100
Dipodomys spectabilis,20,0,0,0,0,0,20,0,30,30
Dipodomys merriami,20,0,0,0,0,0,20,0,30,30
Salpingotus crassicauda,50,0,0,0,0,0,0,0,0,50
Dipus sagitta,0,0,0,0,0,0,20,20,0,60
Jaculus jaculus,0,0,0,0,0,0,0,0,40,60
Microtus californicus,0,0,0,0,0,0,0,0,20,80
Microtus agrestis,0,0,0,0,0,0,0,0,20,80
Microtus pennsylvanicus,0,0,0,0,0,0,0,0,20,80
Microtus oregoni,0,0,0,0,0,0,0,0,20,80
Arvicola amphibius,0,0,0,0,0,0,20,0,0,80
Chionomys nivalis,0,0,0,0,0,0,0,0,30,70
Lasiopodomys mandarinus,0,0,0,0,0,0,0,0,0,100
Lasiopodomys brandtii,0,0,0,0,0,0,0,0,0,100
Lemmus lemmus,0,0,0,0,0,0,10,0,0,90
Ondatra zibethicus,10,0,0,0,0,0,0,0,0,90
Neotoma floridana,10,0,0,0,0,0,0,0,20,70
Onychomys arenicola,90,0,0,0,0,0,0,0,0,10
