Scientific,Diet_Class,Diet-Inv,Diet-Vend,Diet-Vect,Diet-Vfish,Diet-Vunk,Diet-Scav,Diet-Fruit,Diet-Nect,Diet-Seed,Diet-PlantO
Tenrec ecaudatus,Insectivore,90,0,0,0,0,0,0,0,0,10
Amblysomus hottentotus,Insectivore,100,0,0,0,0,0,0,0,0,0
Rhynchocyon petersi,Insectivore,100,0,0,0,0,0,0,0,0,0
Orycteropus afer,Insectivore,100,0,0,0,0,0,0,0,0,0
Heterohyrax brucei,Herbivore,0,0,0,0,0,0,0,0,0,100
Loxodonta africana,Herbivore,0,0,0,0,0,0,0,0,0,100
Dugong dugon,Herbivore,0,0,0,0,0,0,0,0,0,100
Trichechus inunguis,Herbivore,0,0,0,0,0,0,0,0,0,100
Dasypus novemcinctus,Insectivore,100,0,0,0,0,0,0,0,0,0
Bradypus torquatus,Herbivore,0,0,0,0,0,0,0,0,0,100
Choloepus didactylus,Herbivore,0,0,0,0,0,0,30,0,0,70
Myrmecophaga tridactyla,Insectivore,100,0,0,0,0,0,0,0,0,0
Tamandua tetradactyla,Insectivore,100,0,0,0,0,0,0,0,0,0
Tupaia tana,Insectivore,90,0,0,0,0,0,0,0,0,10
Cynocephalus volans,Herbivore,0,0,0,0,0,0,0,0,0,100
Microcebus murinus,Frugivore,20,0,20,0,0,0,30,10,0,20
Lemur catta,Frugivore,0,0,0,0,0,0,80,0,0,20
Daubentonia madagascariensis,Omnivore,40,0,0,0,0,0,0,20,40,0
Loris tardigradus,Insectivore,70,0,0,0,10,0,10,0,0,10
Nycticebus coucang,Omnivore,40,30,10,0,0,0,20,0,0,0
Nycticebus bengalensis,Omnivore,40,30,10,0,0,0,20,0,0,0
Saguinus midas,Omnivore,40,0,0,0,0,0,30,30,0,0
Saguinus oedipus,Omnivore,40,0,0,0,0,0,30,30,0,0
Callithrix jacchus,Omnivore,20,0,0,0,10,0,30,40,0,0
Leontopithecus rosalia,Omnivore,50,0,0,0,0,0,50,0,0,0
Cebus albifrons,Insectivore,20,0,0,0,10,0,20,10,20,20
Saimiri boliviensis,Insectivore,20,0,0,0,20,0,20,0,20,20
Ateles geoffroyi,Frugivore,10,0,0,0,10,0,60,0,10,10
Ateles hybridus,Frugivore,10,0,0,0,10,0,60,0,10,10
Ateles fusciceps,Frugivore,10,0,0,0,10,0,60,0,10,10
Brachyteles arachnoides,Herbivore,0,0,0,0,0,0,20,10,20,50
Macaca mulatta,Herbivore,10,0,0,0,0,0,30,0,20,40
Macaca nemestrina,Frugivore,10,0,0,0,0,0,70,0,10,10
Macaca nigra,Frugivore,10,0,0,0,0,0,70,0,10,10
Macaca fascicularis,Omnivore,50,0,0,0,0,0,40,0,0,10
Macaca cyclopis,Herbivore,10,0,0,0,0,0,30,0,20,40
Macaca assamensis,Herbivore,10,0,0,0,0,0,30,0,20,40
Macaca silenus,Herbivore,10,0,0,0,0,0,30,0,20,40
Chlorocebus sabaeus,Frugivore,20,0,0,0,20,0,40,0,0,20
Erythrocebus patas,Frugivore,0,0,0,0,0,0,40,0,20,40
Papio hamadryas,Herbivore,10,0,0,0,10,0,0,0,0,80
Papio anubis,Omnivore,10,40,0,0,0,0,20,0,0,30
Colobus guereza,Herbivore,0,0,0,0,0,0,30,0,0,70
