species	contig_N50	gap_free
Acinonyx_jubatus	96827784	TRUE
Acomys_cahirinus	57643754	TRUE
Acomys_dimidiatus	33040	TRUE
Acomys_kempi	33625	TRUE
Acomys_minous	29281624	TRUE
Acomys_percivali	26477	TRUE
Acomys_russatus	4450755	TRUE
Ailuropoda_melanoleuca	28556066	TRUE
Amblysomus_hottentotus	59459156	TRUE
Anoura_caudifer	143417	TRUE
Antrozous_pallidus	41887785	TRUE
Apodemus_agrarius	35188814	TRUE
Apodemus_speciosus	2358870	TRUE
Apodemus_sylvaticus	4449850	TRUE
Arctocephalus_gazella	55559406	TRUE
Artibeus_jamaicensis	22092642	TRUE
Artibeus_lituratus	65515378	TRUE
Arvicanthis_niloticus	11143170	TRUE
Arvicola_amphibius	5392280	TRUE
Aselliscus_stoliczkanus	73009000	TRUE
Ateles_fusciceps	7542955	TRUE
Ateles_geoffroyi	29212752	TRUE
Ateles_hybridus	50515269	TRUE
Axis_porcinus	54160790	TRUE
Balaenoptera_edeni	56810546	TRUE
Balaenoptera_musculus	6315640	TRUE
Balaenoptera_physalus	146061	TRUE
Bison_bonasus	91242619	TRUE
Bos_javanicus	47146240	TRUE
Bos_taurus	26402946	TRUE
Brachyteles_arachnoides	58885235	TRUE
Bradypus_torquatus	4748776	TRUE
Budorcas_taxicolor	64431831	TRUE
Callithrix_jacchus	137132494	TRUE
Camelus_dromedarius	31216184	TRUE
Canis_aureus	56644425	TRUE
Canis_latrans	42015997	TRUE
Canis_lupus	34375412	TRUE
Capra_hircus	100793790	TRUE
Capra_ibex	58703036	TRUE
Capra_nubiana	91324156	TRUE
Capreolus_capreolus	69851389	TRUE
Capricornis_sumatraensis	100934918	TRUE
Castor_canadensis	144908913	TRUE
Castor_fiber	48519000	TRUE
Cebus_albifrons	18502463	TRUE
Cervus_elaphus	68741660	TRUE
Cervus_nippon	89550226	TRUE
Chionomys_nivalis	30960136	TRUE
Chlorocebus_sabaeus	839654	TRUE
Choloepus_didactylus	20994632	TRUE
Colobus_guereza	15612012	TRUE
Corynorhinus_townsendii	23382908	TRUE
Cricetus_cricetus	47690202	TRUE
Crocidura_zimmermanni	28351139	TRUE
Ctenodactylus_gundi	38834406	TRUE
Cynocephalus_volans	69195939	TRUE
Cynomys_gunnisoni	687762	TRUE
Cynomys_ludovicianus	567348	TRUE
Cynopterus_sphinx	84235024	TRUE
Dama_dama	68791581	TRUE
Dasypus_novemcinctus	14295626	TRUE
Daubentonia_madagascariensis	27954151	TRUE
Delphinapterus_leucas	3310522	TRUE
Delphinus_delphis	54231611	TRUE
Desmodus_rotundus	9037853	TRUE
Dipodomys_merriami	7443915	TRUE
Dipodomys_spectabilis	9612466	TRUE
Dipus_sagitta	28651707	TRUE
Dugong_dugon	57632671	TRUE
Eira_barbara	285064	TRUE
Eliomys_quercinus	51740598	TRUE
Eospalax_fontanierii	59200000	TRUE
Eptesicus_fuscus	49033427	TRUE
Equus_caballus	99223387	TRUE
Equus_kiang	107027433	TRUE
Erythrocebus_patas	18747272	TRUE
Eschrichtius_robustus	39209000	TRUE
Eubalaena_glacialis	37467374	TRUE
Eumetopias_jubatus	242372	TRUE
Felis_catus	149421202	TRUE
Felis_chaus	91188488	TRUE
Geomys_bursarius	11757861	TRUE
Gorilla_gorilla	150804130	TRUE
Grampus_griseus	3106000	TRUE
Heterohyrax_brucei	78495281	TRUE
Hipposideros_larvatus	19276934	TRUE
Hyaena_hyaena	311202	TRUE
Hydrurga_leptonyx	99454515	TRUE
Hylobates_pileatus	17385161	TRUE
Ia_io	62415887	TRUE
Inia_geoffrensis	41942625	TRUE
Jaculus_jaculus	22593140	TRUE
Kogia_breviceps	42780423	TRUE
Kogia_sima	79492	TRUE
Lasiopodomys_brandtii	242526	TRUE
Lasiopodomys_mandarinus	94995	TRUE
Lemmus_lemmus	51466831	TRUE
Lemur_catta	32529614	TRUE
Leontopithecus_rosalia	54097536	TRUE
Lepus_capensis	30546000	TRUE
Lepus_castroviejoi	58008274	TRUE
Lepus_europaeus	43409466	TRUE
Lepus_oiostolus	58464897	TRUE
Lepus_timidus	4885811	TRUE
Lepus_tolai	134987039	TRUE
Lepus_yarkandensis	126863262	TRUE
Lontra_canadensis	691969	TRUE
Loris_tardigradus	7727436	TRUE
Loxodonta_africana	82653632	TRUE
Lutra_lutra	30403456	TRUE
Lycaon_pictus	39426608	TRUE
Lynx_canadensis	7503561	TRUE
Lynx_rufus	66217191	TRUE
Macaca_assamensis	27348716	TRUE
Macaca_cyclopis	7139826	TRUE
Macaca_fascicularis	162126771	TRUE
Macaca_mulatta	162285572	TRUE
Macaca_nemestrina	40835442	TRUE
Macaca_nigra	60712129	TRUE
Macaca_silenus	25691658	TRUE
Macroderma_gigas	37658598	TRUE
Macrotus_californicus	16386	TRUE
Manis_javanica	61244301	TRUE
Manis_pentadactyla	25547713	TRUE
Marmota_flaviventris	52587502	TRUE
Marmota_himalayana	102162	TRUE
Marmota_monax	10671126	TRUE
Martes_flavigula	68603938	TRUE
Martes_foina	64160893	TRUE
Martes_martes	1599794	TRUE
Mastacomys_fuscus	371229	TRUE
Megaderma_spasma	25520250	TRUE
Megaptera_novaeangliae	36344089	TRUE
Meles_meles	75210923	TRUE
Mephitis_mephitis	39934464	TRUE
Meriones_unguiculatus	50173090	TRUE
Mesocricetus_auratus	9471653	TRUE
Mesoplodon_densirostris	48253041	TRUE
Microcebus_murinus	102817952	TRUE
Micromys_minutus	1835000	TRUE
Micronycteris_microtis	59308170	TRUE
Microtus_agrestis	2938971	TRUE
Microtus_californicus	49752295	TRUE
Microtus_oregoni	34833828	TRUE
Microtus_pennsylvanicus	63584353	TRUE
Miniopterus_schreibersii	2346505	TRUE
Mirounga_leonina	197908	TRUE
Molossus_molossus	21658165	TRUE
Monachus_monachus	90875510	TRUE
Monodon_monoceros	22031227	TRUE
Mops_condylurus	56964224	TRUE
Moschus_berezovskii	91326797	TRUE
Muntiacus_crinifrons	25225000	TRUE
Muntiacus_gongshanensis	24226309	TRUE
Mus_minutoides	74168	TRUE
Mus_musculus	59462871	TRUE
Mus_spretus	10023970	TRUE
Mustela_erminea	36329944	TRUE
Mustela_lutreola	83356672	TRUE
Mustela_nivalis	1161649	TRUE
Myospalax_psilurus	23106468	TRUE
Myotis_daubentonii	28718153	TRUE
Myotis_emarginatus	2127843	TRUE
Myotis_mystacinus	28343623	TRUE
Myotis_nattereri	2100158	TRUE
Myotis_nesopolus	49124421	TRUE
