species	order
Amblysomus_hottentotus	Afrosoricida
Tenrec_ecaudatus	Afrosoricida
Axis_porcinus	Artiodactyla
Balaenoptera_edeni	Artiodactyla
Balaenoptera_musculus	Artiodactyla
Balaenoptera_physalus	Artiodactyla
Bison_bonasus	Artiodactyla
Bos_javanicus	Artiodactyla
Bos_taurus	Artiodactyla
Budorcas_taxicolor	Artiodactyla
Camelus_dromedarius	Artiodactyla
Capra_hircus	Artiodactyla
Capra_ibex	Artiodactyla
Capra_nubiana	Artiodactyla
Capreolus_capreolus	Artiodactyla
Capricornis_sumatraensis	Artiodactyla
Cervus_elaphus	Artiodactyla
Cervus_nippon	Artiodactyla
Dama_dama	Artiodactyla
Delphinapterus_leucas	Artiodactyla
Delphinus_delphis	Artiodactyla
Eschrichtius_robustus	Artiodactyla
Eubalaena_glacialis	Artiodactyla
Grampus_griseus	Artiodactyla
Inia_geoffrensis	Artiodactyla
Kogia_breviceps	Artiodactyla
Kogia_sima	Artiodactyla
Megaptera_novaeangliae	Artiodactyla
Mesoplodon_densirostris	Artiodactyla
Monodon_monoceros	Artiodactyla
Moschus_berezovskii	Artiodactyla
Muntiacus_crinifrons	Artiodactyla
Muntiacus_gongshanensis	Artiodactyla
Orcinus_orca	Artiodactyla
Ovis_aries	Artiodactyla
Ovis_canadensis	Artiodactyla
Pantholops_hodgsonii	Artiodactyla
Peponocephala_electra	Artiodactyla
Phacochoerus_africanus	Artiodactyla
Phocoena_phocoena	Artiodactyla
Phocoena_sinus	Artiodactyla
Pseudorca_crassidens	Artiodactyla
Rupicapra_rupicapra	Artiodactyla
Sus_scrofa	Artiodactyla
Tursiops_truncatus	Artiodactyla
Acinonyx_jubatus	Carnivora
Ailuropoda_melanoleuca	Carnivora
Arctocephalus_gazella	Carnivora
Canis_aureus	Carnivora
Canis_latrans	Carnivora
Canis_lupus	Carnivora
Eira_barbara	Carnivora
Eumetopias_jubatus	Carnivora
Felis_catus	Carnivora
Felis_chaus	Carnivora
Hyaena_hyaena	Carnivora
Hydrurga_leptonyx	Carnivora
Lontra_canadensis	Carnivora
Lutra_lutra	Carnivora
