id	header	gene	species	cluster_best	cluster_at_ngenes
ENST00000325558.11_PGA3_hg38	ENST00000325558.11#PGA3#hg38	PGA3	hg38	PGA	38
ENST00000378149.9_PGA4_hg38	ENST00000378149.9#PGA4#hg38	PGA4	hg38	PGA	38
ENST00000312403.10_PGA5_hg38	ENST00000312403.10#PGA5#hg38	PGA5	hg38	PGA	38
hg38.ENST00000325558.11_PGA3_16_Acinonyx_jubatus__cheetah__HLaciJub3__GCF_027475565.1	hg38.ENST00000325558.11#PGA3#16	PGA3	Acinonyx_jubatus__cheetah__HLaciJub3__GCF_027475565.1	PGA	38
mm10.ENSMUST00000025647_Pga5_69_Acinonyx_jubatus__cheetah__HLaciJub3__GCF_027475565.1	mm10.ENSMUST00000025647#Pga5#69	Pga5	Acinonyx_jubatus__cheetah__HLaciJub3__GCF_027475565.1	PGA-like	16
mm10.ENSMUST00000025647_Pga5_13_Acomys_cahirinus__Egyptian_spiny_mouse__HLacoCah2	mm10.ENSMUST00000025647#Pga5#13	Pga5	Acomys_cahirinus__Egyptian_spiny_mouse__HLacoCah2	PGA-like	21
mm10.ENSMUST00000025647_Pga5_15_Acomys_dimidiatus__Eastern_spiny_mouse__HLacoDim1__GCA_907164435.1	mm10.ENSMUST00000025647#Pga5#15	Pga5	Acomys_dimidiatus__Eastern_spiny_mouse__HLacoDim1__GCA_907164435.1	PGA-like	21
mm10.ENSMUST00000025647_Pga5_15_Acomys_kempi__Kemps_spiny_mouse__HLacoKem1__GCA_907164505.1	mm10.ENSMUST00000025647#Pga5#15	Pga5	Acomys_kempi__Kemps_spiny_mouse__HLacoKem1__GCA_907164505.1	PGA-like	21
mm10.ENSMUST00000025647_Pga5_13_Acomys_minous__Crete_spiny_mouse__HLacoMin1__GCA_964271855.1	mm10.ENSMUST00000025647#Pga5#13	Pga5	Acomys_minous__Crete_spiny_mouse__HLacoMin1__GCA_964271855.1	PGA-like	21
mm10.ENSMUST00000025647_Pga5_15_Acomys_percivali__Percivals_spiny_mouse__HLacoPer1__GCA_907169655.1	mm10.ENSMUST00000025647#Pga5#15	Pga5	Acomys_percivali__Percivals_spiny_mouse__HLacoPer1__GCA_907169655.1	PGA-like	21
mm10.ENSMUST00000025647_Pga5_14_Acomys_russatus__golden_spiny_mouse__HLacoRus1__GCA_903995435.1	mm10.ENSMUST00000025647#Pga5#14	Pga5	Acomys_russatus__golden_spiny_mouse__HLacoRus1__GCA_903995435.1	PGA-like	21
mm10.ENSMUST00000025647_Pga5_73_Ailuropoda_melanoleuca__giant_panda__HLailMel3__GCA_029963865.1	mm10.ENSMUST00000025647#Pga5#73	Pga5	Ailuropoda_melanoleuca__giant_panda__HLailMel3__GCA_029963865.1	PGA-like	16
