Species_clean	tip_label	Directory Name	assembly	assem	Assembly name	NCBI accession	Taxonomic Lineage	contig N50 (bp)	scaffold N50 (bp)	No. ancestral genes with intact ORF	No. ancestral genes with missing sequences	PGA_all_CN	PGA_all_log1p	PGA_CN_primary	PGA_log1p	PGA_like_CN_primary	PGA_like_log1p	PAG_CN_primary	PAG_log1p	all	pga	pga_like	pag	Diet_Class	Diet_Group	Diet-Inv	Diet-Vend	Diet-Vect	Diet-Vfish	Diet-Vunk	Diet-Scav	Diet-Fruit	Diet-Nect	Diet-Seed	Diet-PlantO	plant_total_pct	plant_total_prop	plant_structural_prop	animal_total_pct	BodyMass-Value	log10_body_mass	Species	Common name	Other species names	Species Taxonomy ID	Source of assembly	NCBI assembly name	NCBI assembly status	Assembly submission date	Assembly submitter organization	No. ancestral genes with inactivating mutations	Scientific	Scientific_clean	High_Order_Diet	Use_High_Order_Diet	plant_dominant_pct	carnivore_pct	insectivore_pct	nectarivore_pct	plant_dominant_prop	carnivore_prop	insectivore_prop	nectarivore_prop	diet_total_pct	CNV_source_col	CNV	CNV_log1p
Loxodonta africana	Loxodonta_africana	Loxodonta_africana__African_savanna_elephant__HLloxAfr5A__GCA_030014295.1	Loxodonta_africana__African_savanna_elephant__HLloxAfr5A__GCA_030014295.1	Loxodonta_africana__African_savanna_elephant__HLloxAfr5A__GCA_030014295.1	HLloxAfr5A	GCA_030014295.1	Mammalia; Theria; Eutheria; Afrotheria; Proboscidea; Elephantidae; Loxodonta	82653632	119600562	15167	5	2	1.09861228866811	1	0.693147180559945	1	0.693147180559945	0	0	2	1	1	0	Herbivore	Plant_dominant	0	0	0	0	0	0	0	0	0	100	100	1	1	0	3940034.28	6.59550000039158	Loxodonta africana	African savanna elephant	African bush elephant,Elephas africanus,Loxodonta africana africana,African savannah elephant	9785	NCBI	mLoxAfr1.hap2	Chromosome	2023-05-16	Vertebrate Genomes Project	24	Loxodonta africana	Loxodonta africana	Plant_dominant	TRUE	100	0	0	0	1	0	0	0	100	PGA_CN_primary	1	0.693147180559945
Heterohyrax brucei	Heterohyrax_brucei	Heterohyrax_brucei__yellow-spotted_hyrax__HLhetBru2__GCA_028571685.1	Heterohyrax_brucei__yellow-spotted_hyrax__HLhetBru2__GCA_028571685.1	Heterohyrax_brucei__yellow-spotted_hyrax__HLhetBru2__GCA_028571685.1	HLhetBru2	GCA_028571685.1	Mammalia; Theria; Eutheria; Afrotheria; Hyracoidea; Procaviidae; Heterohyrax	78495281	139648372	15034	4	2	1.09861228866811	1	0.693147180559945	1	0.693147180559945	0	0	2	1	1	0	Herbivore	Plant_dominant	0	0	0	0	0	0	0	0	0	100	100	1	1	0	2625	3.41912930774198	Heterohyrax brucei	yellow-spotted hyrax	Hyrax brucei	77598	NCBI	mHetBru1.pri	Chromosome	2023-02-10	Vertebrate Genomes Project	158	Heterohyrax brucei	Heterohyrax brucei	Plant_dominant	TRUE	100	0	0	0	1	0	0	0	100	PGA_CN_primary	1	0.693147180559945
Dugong dugon	Dugong_dugon	Dugong_dugon__Dugong__HLdugDugo3A__GCA_030035585.1	Dugong_dugon__Dugong__HLdugDugo3A__GCA_030035585.1	Dugong_dugon__Dugong__HLdugDugo3A__GCA_030035585.1	HLdugDugo3A	GCA_030035585.1	Mammalia; Theria; Eutheria; Afrotheria; Sirenia; Dugongidae; Dugong	57632671	140670990	15082	9	2	1.09861228866811	1	0.693147180559945	1	0.693147180559945	0	0	2	1	1	0	Herbivore	Plant_dominant	0	0	0	0	0	0	0	0	0	100	100	1	1	0	310000	5.49136169383427	Dugong dugon	Dugong	Trichechus dugon MÃƒÂ1/4ller, 1776	29137	NCBI	mDugDug1.hap1	Chromosome	2023-05-18	Vertebrate Genomes Project	105	Dugong dugon	Dugong dugon	Plant_dominant	TRUE	100	0	0	0	1	0	0	0	100	PGA_CN_primary	1	0.693147180559945
Trichechus inunguis	Trichechus_inunguis	Trichechus_inunguis__Amazon_manatee__HLtriInu1A__GCA_046562895.1	Trichechus_inunguis__Amazon_manatee__HLtriInu1A__GCA_046562895.1	Trichechus_inunguis__Amazon_manatee__HLtriInu1A__GCA_046562895.1	HLtriInu1A	GCA_046562895.1	Mammalia; Theria; Eutheria; Afrotheria; Sirenia; Trichechidae; Trichechus	25109643	123530250	15089	15	4	1.6094379124341	3	1.38629436111989	1	0.693147180559945	0	0	4	3	1	0	Herbivore	Plant_dominant	0	0	0	0	0	0	0	0	0	100	100	1	1	0	480000	5.68124123737559	Trichechus inunguis	Amazon manatee	Manatus inunguis,Amazonian manatee,Brazilian manatee	9777	NCBI	mTriInu1 haplotype 2	Chromosome	2025-01-08	Genomics of Brazilian Biodiversity	92	Trichechus inunguis	Trichechus inunguis	Plant_dominant	TRUE	100	0	0	0	1	0	0	0	100	PGA_CN_primary	3	1.38629436111989
Orycteropus afer	Orycteropus_afer	Orycteropus_afer__Aardvark__HLoryAfer3A__GCA_054668785.1	Orycteropus_afer__Aardvark__HLoryAfer3A__GCA_054668785.1	Orycteropus_afer__Aardvark__HLoryAfer3A__GCA_054668785.1	HLoryAfer3A	GCA_054668785.1	Mammalia; Theria; Eutheria; Afrotheria; Tubulidentata; Orycteropodidae; Orycteropus	166734673	655437740	15060	15	1	0.693147180559945	1	0.693147180559945	0	0	0	0	1	1	0	0	Insectivore	Animal_dominant	100	0	0	0	0	0	0	0	0	0	0	0	0	100	52350.4	4.71892000439364	Orycteropus afer	Aardvark	Manis afer	9818	NCBI	mOryAfe1.hap1	Chromosome	2026-01-23	Vertebrate Genomes Project	121	Orycteropus afer	Orycteropus afer	Insectivore	TRUE	0	0	100	0	0	0	1	0	100	PGA_CN_primary	1	0.693147180559945
Tenrec ecaudatus	Tenrec_ecaudatus	Tenrec_ecaudatus__Tailless_tenrec__HLtenEca1B	Tenrec_ecaudatus__Tailless_tenrec__HLtenEca1B	Tenrec_ecaudatus__Tailless_tenrec__HLtenEca1B	HLtenEca1B	TBG Hillerlab, Fauna	Mammalia; Theria; Eutheria; Afrotheria; Afrosoricida; Tenrecidae; Tenrecinae; Tenrec	71825797	156487869	14355	560	2	1.09861228866811	1	0.693147180559945	1	0.693147180559945	0	0	2	1	1	0	Insectivore	Animal_dominant	90	0	0	0	0	0	0	0	0	10	10	0.1	0.1	90	868	2.93851972517649	Tenrec ecaudatus	Tailless tenrec	tail-less tenrec	94439	TBG Hillerlab, Fauna			2023-09-02		281	Tenrec ecaudatus	Tenrec ecaudatus	Insectivore	TRUE	10	0	90	0	0.1	0	0.9	0	100	PGA_CN_primary	1	0.693147180559945
Amblysomus hottentotus	Amblysomus_hottentotus	Amblysomus_hottentotus__Hottentot_golden_mole__HLambHott1A__GCA_054824725.1	Amblysomus_hottentotus__Hottentot_golden_mole__HLambHott1A__GCA_054824725.1	Amblysomus_hottentotus__Hottentot_golden_mole__HLambHott1A__GCA_054824725.1	HLambHott1A	GCA_054824725.1	Mammalia; Theria; Eutheria; Afrotheria; Afrosoricida; Chrysochloridae; Amblysominae; Amblysomus	59459156	96331173	14995	15	2	1.09861228866811	1	0.693147180559945	1	0.693147180559945	0	0	2	1	1	0	Insectivore	Animal_dominant	100	0	0	0	0	0	0	0	0	0	0	0	0	100	52.6	1.72098574415374	Amblysomus hottentotus	Hottentot golden mole	Sorex hottentotus	9391	NCBI	mAmbHot1.hap1	Scaffold	2026-01-29	Vertebrate Genomes Project	186	Amblysomus hottentotus	Amblysomus hottentotus	Insectivore	TRUE	0	0	100	0	0	0	1	0	100	PGA_CN_primary	1	0.693147180559945
Rhynchocyon petersi	Rhynchocyon_petersi	Rhynchocyon_petersi__Black_and_rufous_elephant_shrew__HLrhyPet1B__GCA_043290065.1	Rhynchocyon_petersi__Black_and_rufous_elephant_shrew__HLrhyPet1B__GCA_043290065.1	Rhynchocyon_petersi__Black_and_rufous_elephant_shrew__HLrhyPet1B__GCA_043290065.1	HLrhyPet1B	GCA_043290065.1	Mammalia; Theria; Eutheria; Afrotheria; Macroscelidea; Macroscelididae; Rhynchocyon	13791435	546604020	14364	570	2	1.09861228866811	1	0.693147180559945	1	0.693147180559945	0	0	2	1	1	0	Insectivore	Animal_dominant	100	0	0	0	0	0	0	0	0	0	0	0	0	100	424	2.62736585659273	Rhynchocyon petersi	Black and rufous elephant shrew	black and rufous sengi	320637	NCBI	mRhyPet1.hap2	Chromosome	2024-10-17	Vertebrate Genomes Project	262	Rhynchocyon petersi	Rhynchocyon petersi	Insectivore	TRUE	0	0	100	0	0	0	1	0	100	PGA_CN_primary	1	0.693147180559945
Rhinopoma microphyllum	Rhinopoma_microphyllum	Rhinopoma_microphyllum__Greater_mouse-tailed_bat__HLrhiMic1__GCA_043880545.1	Rhinopoma_microphyllum__Greater_mouse-tailed_bat__HLrhiMic1__GCA_043880545.1	Rhinopoma_microphyllum__Greater_mouse-tailed_bat__HLrhiMic1__GCA_043880545.1	HLrhiMic1	GCA_043880545.1	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yinpterochiroptera; Rhinolophoidea; Rhinopomatidae; Rhinopoma	33347918	146810189	14980	17	2	1.09861228866811	1	0.693147180559945	1	0.693147180559945	0	0	2	1	1	0	Insectivore	Animal_dominant	100	0	0	0	0	0	0	0	0	0	0	0	0	100	27.87	1.4451369687133	Rhinopoma microphyllum	Greater mouse-tailed bat		173903	NCBI, Bat1K			2021-10-19		199	Rhinopoma microphyllum	Rhinopoma microphyllum	Insectivore	TRUE	0	0	100	0	0	0	1	0	100	PGA_CN_primary	1	0.693147180559945
Megaderma spasma	Megaderma_spasma	Megaderma_spasma__lesser_false_vampire_bat__HLmegSpa1__GCA_043880595.1	Megaderma_spasma__lesser_false_vampire_bat__HLmegSpa1__GCA_043880595.1	Megaderma_spasma__lesser_false_vampire_bat__HLmegSpa1__GCA_043880595.1	HLmegSpa1	GCA_043880595.1	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yinpterochiroptera; Rhinolophoidea; Megadermatidae; Megaderma	25520250	120949103	14500	12	2	1.09861228866811	1	0.693147180559945	1	0.693147180559945	0	0	2	1	1	0	Omnivore	Omnivore	40	30	20	10	0	0	0	0	0	0	0	0	0	100	25.38	1.40449161775869	Megaderma spasma	lesser false vampire bat		9414	NCBI, Bat1K			2021-12-23		684	Megaderma spasma	Megaderma spasma	Omnivore	TRUE	0	60	40	0	0	0.6	0.4	0	100	PGA_CN_primary	1	0.693147180559945
