Directory Name	Species	Common name	Other species names	Species Taxonomy ID	Taxonomic Lineage	Assembly name	NCBI accession	Source of assembly	NCBI assembly name	NCBI assembly status	Assembly submission date	Assembly submitter organization	contig N50 (bp)	scaffold N50 (bp)	No. ancestral genes with intact ORF	No. ancestral genes with inactivating mutations	No. ancestral genes with missing sequences	Species_clean	assem	all	pga	pga_like	pag	assembly	PGA_all_CN	PGA_CN_primary	PGA_like_CN_primary	PAG_CN_primary	Scientific	Diet_Class	Diet-Inv	Diet-Vend	Diet-Vect	Diet-Vfish	Diet-Vunk	Diet-Scav	Diet-Fruit	Diet-Nect	Diet-Seed	Diet-PlantO	Scientific_clean	BodyMass-Value	plant_total_pct	animal_total_pct	plant_total_prop	plant_structural_prop	log10_body_mass	PGA_all_log1p	PGA_log1p	PGA_like_log1p	PAG_log1p	Diet_Group	tip_label
Arctocephalus_gazella__Antarctic_fur_seal__HLarcGaze3A__GCA_040869175.1	Arctocephalus gazella	Antarctic fur seal		37190	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Pinnipedia; Otariidae; Arctocephalus	HLarcGaze3A	GCA_040869175.1	NCBI	arcGaz4_h1	Scaffold	2024-07-25	Univeristy Bielefeld	55559406	141635559	15003	177	16	Arctocephalus gazella	Arctocephalus_gazella__Antarctic_fur_seal__HLarcGaze3A__GCA_040869175.1	2	1	1	0	Arctocephalus_gazella__Antarctic_fur_seal__HLarcGaze3A__GCA_040869175.1	2	1	1	0	Arctocephalus gazella	Insectivore	80	0	0	20	0	0	0	0	0	0	Arctocephalus gazella	97500.0	0	100	0.0	0.0	4.989004615698537	1.0986122886681096	0.6931471805599453	0.6931471805599453	0.0	Animal_dominant	Arctocephalus_gazella
Arctocephalus_gazella__antarctic_fur_seal__HLarcGaz2__GCA_900642305.1	Arctocephalus gazella	antarctic fur seal		37190	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Pinnipedia; Otariidae; Arctocephalus	HLarcGaz2	GCA_900642305.1	NCBI	arcGaz3	Scaffold	2019-02-08	LMU	537425	139181869	6418	8678	100	Arctocephalus gazella	Arctocephalus_gazella__antarctic_fur_seal__HLarcGaz2__GCA_900642305.1	2	1	1	0	Arctocephalus_gazella__antarctic_fur_seal__HLarcGaz2__GCA_900642305.1	2	1	1	0	Arctocephalus gazella	Insectivore	80	0	0	20	0	0	0	0	0	0	Arctocephalus gazella	97500.0	0	100	0.0	0.0	4.989004615698537	1.0986122886681096	0.6931471805599453	0.6931471805599453	0.0	Animal_dominant	Arctocephalus_gazella
Artibeus_jamaicensis__Jamaican_fruit-eating_bat__HLartJam3__GCA_021234435.1	Artibeus jamaicensis	Jamaican fruit-eating bat		9417	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Phyllostomidae; Stenodermatinae; Artibeus	HLartJam3	GCA_021234435.1	NCBI, Diana Moreno			2021-09-10		22092642	22092642	14817	357	22	Artibeus jamaicensis	Artibeus_jamaicensis__Jamaican_fruit-eating_bat__HLartJam3__GCA_021234435.1	2	1	1	0	Artibeus_jamaicensis__Jamaican_fruit-eating_bat__HLartJam3__GCA_021234435.1	2	1	1	0	Artibeus jamaicensis	Frugivore	10	0	0	0	0	0	80	10	0	0	Artibeus jamaicensis	42.17	90	10	0.9	0.0	1.6250036010148634	1.0986122886681096	0.6931471805599453	0.6931471805599453	0.0	Plant_dominant	Artibeus_jamaicensis
Artibeus_jamaicensis__Jamaican_fruit-eating_bat__HLartJam2__GCA_014825515.1	Artibeus jamaicensis	Jamaican fruit-eating bat		9417	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Phyllostomidae; Stenodermatinae; Artibeus	HLartJam2	GCA_014825515.1	NCBI	WHU_Ajam_v2	Scaffold	2020-09-30	College of Life Sciences at Wuhan University	374929	2589479	14416	557	223	Artibeus jamaicensis	Artibeus_jamaicensis__Jamaican_fruit-eating_bat__HLartJam2__GCA_014825515.1	2	1	1	0	Artibeus_jamaicensis__Jamaican_fruit-eating_bat__HLartJam2__GCA_014825515.1	2	1	1	0	Artibeus jamaicensis	Frugivore	10	0	0	0	0	0	80	10	0	0	Artibeus jamaicensis	42.17	90	10	0.9	0.0	1.6250036010148634	1.0986122886681096	0.6931471805599453	0.6931471805599453	0.0	Plant_dominant	Artibeus_jamaicensis
Artibeus_lituratus__Great_fruit-eating_bat__HLartLit1A__GCA_038363095.2	Artibeus lituratus	Great fruit-eating bat		27634	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Phyllostomidae; Stenodermatinae; Artibeus	HLartLit1A	GCA_038363095.2	NCBI	mArtLit.hap1	Chromosome	2024-05-21	Bat1K Project	65515378	160301290	14845	336	15	Artibeus lituratus	Artibeus_lituratus__Great_fruit-eating_bat__HLartLit1A__GCA_038363095.2	2	1	1	0	Artibeus_lituratus__Great_fruit-eating_bat__HLartLit1A__GCA_038363095.2	2	1	1	0	Artibeus lituratus	Frugivore	10	0	0	0	0	0	80	10	0	0	Artibeus lituratus	60.54	90	10	0.9	0.0	1.7820424166205542	1.0986122886681096	0.6931471805599453	0.6931471805599453	0.0	Plant_dominant	Artibeus_lituratus
Artibeus_lituratus__Great_fruit-eating_bat__HLartLitu2A__GCA_038363095.4	Artibeus lituratus	Great fruit-eating bat		27634	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Phyllostomidae; Stenodermatinae; Artibeus	HLartLitu2A	GCA_038363095.4	NCBI	mArtLit1.hap1	Chromosome	2025-05-01	Bat1K Project	65515378	160301290	14844	337	15	Artibeus lituratus	Artibeus_lituratus__Great_fruit-eating_bat__HLartLitu2A__GCA_038363095.4	2	1	1	0	Artibeus_lituratus__Great_fruit-eating_bat__HLartLitu2A__GCA_038363095.4	2	1	1	0	Artibeus lituratus	Frugivore	10	0	0	0	0	0	80	10	0	0	Artibeus lituratus	60.54	90	10	0.9	0.0	1.7820424166205542	1.0986122886681096	0.6931471805599453	0.6931471805599453	0.0	Plant_dominant	Artibeus_lituratus
Arvicanthis_niloticus__Nile_rat__HLarvNilo2__GCF_011762505.2	Arvicanthis niloticus	Nile rat	Mus niloticus,African grass rat	61156	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Arvicanthis	HLarvNilo2	GCF_011762505.2	NCBI	mArvNil1.pat.X	Chromosome	2025-01-29	Vertebrate Genomes Project	11143170	82689117	14738	378	80	Arvicanthis niloticus	Arvicanthis_niloticus__Nile_rat__HLarvNilo2__GCF_011762505.2	1	0	1	0	Arvicanthis_niloticus__Nile_rat__HLarvNilo2__GCF_011762505.2	1	0	1	0	Arvicanthis niloticus	Omnivore	0	0	0	0	0	0	0	0	30	70	Arvicanthis niloticus	106.9	100	0	1.0	0.7	2.028977705208778	0.6931471805599453	0.0	0.6931471805599453	0.0	Omnivore	Arvicanthis_niloticus
Arvicanthis_niloticus__African_grass_rat__HLarvNil1__GCA_011762505.1	Arvicanthis niloticus	African grass rat		61156	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Arvicanthis	HLarvNil1	GCA_011762505.1	NCBI	mArvNil1.pat.X	Chromosome	2020-03-27	Vertebrate Genomes Project	11143170	82689117	14733	384	79	Arvicanthis niloticus	Arvicanthis_niloticus__African_grass_rat__HLarvNil1__GCA_011762505.1	1	0	1	0	Arvicanthis_niloticus__African_grass_rat__HLarvNil1__GCA_011762505.1	1	0	1	0	Arvicanthis niloticus	Omnivore	0	0	0	0	0	0	0	0	30	70	Arvicanthis niloticus	106.9	100	0	1.0	0.7	2.028977705208778	0.6931471805599453	0.0	0.6931471805599453	0.0	Omnivore	Arvicanthis_niloticus
Aselliscus_stoliczkanus__Stoliczkas_trident_bat__HLaseSto4__GCA_033961575.1	Aselliscus stoliczkanus	Stoliczkas trident bat	Stoliczka's Asian trident bat,Asellia stoliczkana	188568	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yinpterochiroptera; Rhinolophoidea; Hipposideridae; Aselliscus	HLaseSto4	GCA_033961575.1	NCBI	ASM3396157v1	Chromosome	2023-11-28	East China Normal University	73009000	162004500	14914	271	11	Aselliscus stoliczkanus	Aselliscus_stoliczkanus__Stoliczkas_trident_bat__HLaseSto4__GCA_033961575.1	2	1	1	0	Aselliscus_stoliczkanus__Stoliczkas_trident_bat__HLaseSto4__GCA_033961575.1	2	1	1	0	Aselliscus stoliczkanus	Insectivore	100	0	0	0	0	0	0	0	0	0	Aselliscus stoliczkanus	4.9	0	100	0.0	0.0	0.6901960800285137	1.0986122886681096	0.6931471805599453	0.6931471805599453	0.0	Animal_dominant	Aselliscus_stoliczkanus
Aselliscus_stoliczkanus__Stoliczkas_trident_bat__HLaseSto2__GCA_043727835.1	Aselliscus stoliczkanus	Stoliczkas trident bat	Stoliczka's Asian trident bat	188568	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yinpterochiroptera; Rhinolophoidea; Hipposideridae; Aselliscus	HLaseSto2	GCA_043727835.1	NCBI, Bat1K			2021-10-02		64984936	162130651	14906	285	5	Aselliscus stoliczkanus	Aselliscus_stoliczkanus__Stoliczkas_trident_bat__HLaseSto2__GCA_043727835.1	2	1	1	0	Aselliscus_stoliczkanus__Stoliczkas_trident_bat__HLaseSto2__GCA_043727835.1	2	1	1	0	Aselliscus stoliczkanus	Insectivore	100	0	0	0	0	0	0	0	0	0	Aselliscus stoliczkanus	4.9	0	100	0.0	0.0	0.6901960800285137	1.0986122886681096	0.6931471805599453	0.6931471805599453	0.0	Animal_dominant	Aselliscus_stoliczkanus
