ref_prefix	chrom	start	end	strand	blockCount	raw_name	source_transcript_id	gene_label	source_name	target_status	canonical_interval
hg38	chr11	61203514	61213098	+	9	ENST00000325558.11#PGA3	hg38.ENST00000325558.11	PGA3	hg38.ENST00000325558.11#PGA3	candidate_interval_gene	chr11:61130256-61295316
hg38	chr11	61222346	61231694	+	9	ENST00000378149.9#PGA4	hg38.ENST00000378149.9	PGA4	hg38.ENST00000378149.9#PGA4	candidate_interval_gene	chr11:61130256-61295316
hg38	chr11	61241174	61251444	+	9	ENST00000312403.10#PGA5	hg38.ENST00000312403.10	PGA5	hg38.ENST00000312403.10#PGA5	candidate_interval_gene	chr11:61130256-61295316
HLbosTau10	NC_037356	37503974	37506705	+	4	XM_015461223#LOC613739	HLbosTau10.XM_015461223	LOC613739	HLbosTau10.XM_015461223#LOC613739	candidate_interval_gene	NC_037356:37451493-39810386
HLbosTau10	NC_037356	37526407	37529532	+	3	ENSBTAT00000084426#ENSBTAG00000048600	HLbosTau10.ENSBTAT00000084426	ENSBTAG00000048600	HLbosTau10.ENSBTAT00000084426#ENSBTAG00000048600	candidate_interval_gene	NC_037356:37451493-39810386
HLbosTau10	NC_037356	37551913	37560345	+	9	ENSBTAT00000005384#PAG10	HLbosTau10.ENSBTAT00000005384	PAG10	HLbosTau10.ENSBTAT00000005384#PAG10	candidate_interval_gene	NC_037356:37451493-39810386
HLbosTau10	NC_037356	37572007	37581505	-	9	ENSBTAT00000025517#PAG2	HLbosTau10.ENSBTAT00000025517	PAG2	HLbosTau10.ENSBTAT00000025517#PAG2	candidate_interval_gene	NC_037356:37451493-39810386
HLbosTau10	NC_037356	37655960	37666176	+	9	ENSBTAT00000025567#PAG12	HLbosTau10.ENSBTAT00000025567	PAG12	HLbosTau10.ENSBTAT00000025567#PAG12	candidate_interval_gene	NC_037356:37451493-39810386
HLbosTau10	NC_037356	37693612	37702434	-	10	ENSBTAT00000030188#ENSBTAG00000024611	HLbosTau10.ENSBTAT00000030188	ENSBTAG00000024611	HLbosTau10.ENSBTAT00000030188#ENSBTAG00000024611	candidate_interval_gene	NC_037356:37451493-39810386
HLbosTau10	NC_037356	37788684	37797590	-	9	ENSBTAT00000025593#PAG5	HLbosTau10.ENSBTAT00000025593	PAG5	HLbosTau10.ENSBTAT00000025593#PAG5	candidate_interval_gene	NC_037356:37451493-39810386
HLbosTau10	NC_037356	37824654	37832434	-	8	ENSBTAT00000077448#ENSBTAG00000048542	HLbosTau10.ENSBTAT00000077448	ENSBTAG00000048542	HLbosTau10.ENSBTAT00000077448#ENSBTAG00000048542	candidate_interval_gene	NC_037356:37451493-39810386
HLbosTau10	NC_037356	37853777	37862985	-	9	ENSBTAT00000030466#PAG18	HLbosTau10.ENSBTAT00000030466	PAG18	HLbosTau10.ENSBTAT00000030466#PAG18	candidate_interval_gene	NC_037356:37451493-39810386
HLbosTau10	NC_037356	37942843	37951889	-	9	ENSBTAT00000013786#PAG7	HLbosTau10.ENSBTAT00000013786	PAG7	HLbosTau10.ENSBTAT00000013786#PAG7	candidate_interval_gene	NC_037356:37451493-39810386
HLbosTau10	NC_037356	37942843	37951889	-	8	ENSBTAT00000057377#PAG7	HLbosTau10.ENSBTAT00000057377	PAG7	HLbosTau10.ENSBTAT00000057377#PAG7	candidate_interval_gene	NC_037356:37451493-39810386
HLbosTau10	NC_037356	37942988	37951852	-	9	NM_001109978#PAG7	HLbosTau10.NM_001109978	PAG7	HLbosTau10.NM_001109978#PAG7	candidate_interval_gene	NC_037356:37451493-39810386
HLbosTau10	NC_037356	38018281	38022055	-	4	ENSBTAT00000012687#ENSBTAG00000045670	HLbosTau10.ENSBTAT00000012687	ENSBTAG00000045670	HLbosTau10.ENSBTAT00000012687#ENSBTAG00000045670	candidate_interval_gene	NC_037356:37451493-39810386
HLbosTau10	NC_037356	38018281	38024468	-	5	ENSBTAT00000063510#ENSBTAG00000045670	HLbosTau10.ENSBTAT00000063510	ENSBTAG00000045670	HLbosTau10.ENSBTAT00000063510#ENSBTAG00000045670	candidate_interval_gene	NC_037356:37451493-39810386
HLbosTau10	NC_037356	38083590	38092498	-	9	ENSBTAT00000050664#PAG15	HLbosTau10.ENSBTAT00000050664	PAG15	HLbosTau10.ENSBTAT00000050664#PAG15	candidate_interval_gene	NC_037356:37451493-39810386
HLbosTau10	NC_037356	38151625	38157621	-	8	ENSBTAT00000007507#ENSBTAG00000046038	HLbosTau10.ENSBTAT00000007507	ENSBTAG00000046038	HLbosTau10.ENSBTAT00000007507#ENSBTAG00000046038	candidate_interval_gene	NC_037356:37451493-39810386
HLbosTau10	NC_037356	38183330	38226750	-	10	ENSBTAT00000077609#ENSBTAG00000053183	HLbosTau10.ENSBTAT00000077609	ENSBTAG00000053183	HLbosTau10.ENSBTAT00000077609#ENSBTAG00000053183	candidate_interval_gene	NC_037356:37451493-39810386
HLbosTau10	NC_037356	38217571	38226738	-	9	NM_176615#ENSBTAG00000053183	HLbosTau10.NM_176615	ENSBTAG00000053183	HLbosTau10.NM_176615#ENSBTAG00000053183	candidate_interval_gene	NC_037356:37451493-39810386
HLbosTau10	NC_037356	38313791	38316440	-	3	ENSBTAT00000089520#ENSBTAG00000068755	HLbosTau10.ENSBTAT00000089520	ENSBTAG00000068755	HLbosTau10.ENSBTAT00000089520#ENSBTAG00000068755	candidate_interval_gene	NC_037356:37451493-39810386
HLbosTau10	NC_037356	38342736	38437767	-	10	ENSBTAT00000030244#ENSBTAG00000050440	HLbosTau10.ENSBTAT00000030244	ENSBTAG00000050440	HLbosTau10.ENSBTAT00000030244#ENSBTAG00000050440	candidate_interval_gene	NC_037356:37451493-39810386
HLbosTau10	NC_037356	38342821	38353343	-	7	NM_001304570#PAG14	HLbosTau10.NM_001304570	PAG14	HLbosTau10.NM_001304570#PAG14	candidate_interval_gene	NC_037356:37451493-39810386
HLbosTau10	NC_037356	38342821	38353343	-	6	NM_001304571#PAG14	HLbosTau10.NM_001304571	PAG14	HLbosTau10.NM_001304571#PAG14	candidate_interval_gene	NC_037356:37451493-39810386
HLbosTau10	NC_037356	38376388	38385978	-	9	NM_176625#PAG16	HLbosTau10.NM_176625	PAG16	HLbosTau10.NM_176625#PAG16	candidate_interval_gene	NC_037356:37451493-39810386
HLbosTau10	NC_037356	38428592	38437719	-	9	NM_176629#ENSBTAG00000050440	HLbosTau10.NM_176629	ENSBTAG00000050440	HLbosTau10.NM_176629#ENSBTAG00000050440	candidate_interval_gene	NC_037356:37451493-39810386
HLbosTau10	NC_037356	38474550	38483630	-	9	NM_176630#PAG21	HLbosTau10.NM_176630	PAG21	HLbosTau10.NM_176630#PAG21	candidate_interval_gene	NC_037356:37451493-39810386
HLbosTau10	NC_037356	38474553	38483630	-	9	ENSBTAT00000038954#PAG21	HLbosTau10.ENSBTAT00000038954	PAG21	HLbosTau10.ENSBTAT00000038954#PAG21	candidate_interval_gene	NC_037356:37451493-39810386
HLbosTau10	NC_037356	38604842	38614221	-	9	ENSBTAT00000064112#ENSBTAG00000054180	HLbosTau10.ENSBTAT00000064112	ENSBTAG00000054180	HLbosTau10.ENSBTAT00000064112#ENSBTAG00000054180	candidate_interval_gene	NC_037356:37451493-39810386
HLbosTau10	NC_037356	38604864	38614193	-	9	NM_174411#ENSBTAG00000054180	HLbosTau10.NM_174411	ENSBTAG00000054180	HLbosTau10.NM_174411#ENSBTAG00000054180	candidate_interval_gene	NC_037356:37451493-39810386
HLbosTau10	NC_037356	38647411	38650395	-	4	ENSBTAT00000063656#ENSBTAG00000048202	HLbosTau10.ENSBTAT00000063656	ENSBTAG00000048202	HLbosTau10.ENSBTAT00000063656#ENSBTAG00000048202	candidate_interval_gene	NC_037356:37451493-39810386
HLbosTau10	NC_037356	38684886	38693885	-	9	NM_176628#PAG19	HLbosTau10.NM_176628	PAG19	HLbosTau10.NM_176628#PAG19	candidate_interval_gene	NC_037356:37451493-39810386
HLbosTau10	NC_037356	38750565	38759895	-	11	ENSBTAT00000063428#ENSBTAG00000051196	HLbosTau10.ENSBTAT00000063428	ENSBTAG00000051196	HLbosTau10.ENSBTAT00000063428#ENSBTAG00000051196	candidate_interval_gene	NC_037356:37451493-39810386
HLbosTau10	NC_037356	38785255	38792621	-	5	ENSBTAT00000047007#ENSBTAG00000048968	HLbosTau10.ENSBTAT00000047007	ENSBTAG00000048968	HLbosTau10.ENSBTAT00000047007#ENSBTAG00000048968	candidate_interval_gene	NC_037356:37451493-39810386
HLbosTau10	NC_037356	38785302	38786538	-	2	ENSBTAT00000126367#ENSBTAG00000048968	HLbosTau10.ENSBTAT00000126367	ENSBTAG00000048968	HLbosTau10.ENSBTAT00000126367#ENSBTAG00000048968	candidate_interval_gene	NC_037356:37451493-39810386
